sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature ;deepest air temperature;média temperature;;;;;;;;;;;;;;;;;;;
103;Male ponte;Croatia;9.4.2007.;2007-04-09;1 m, 1 f, 1 juv;3;Leptonetidae;Sulcia;nocturna;Sulcia nocturna;;42.761389;17.430786;;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
104;Špilja kod Nerezinog dola;Croatia;7.4.2007.;2007-04-07;1 m, 3 juv;4;Leptonetidae;Barusia;maheni;Barusia maheni;;42.758378;17.436094;tf;deep cave;42.75837817.436094;6;;14,6;12,7875;;;;;;;;;;;;;;;;;;;
105;Špilja u Solinama;Croatia;11.4.2007.;2007-04-11;1 m, 1 f;2;Leptonetidae;Barusia;maheni;Barusia maheni;17;42.768021;17.377062;tf;deep cave;42.76802117.377062;5;;;7,6;;;;;;;;;;;;;;;;;;;
109;Špilja kod Nerezinog dola;Croatia;7.4.2007.;2007-04-07;1 m, 2 f;3;Leptonetidae;Barusia;maheni;Barusia maheni;;42.758378;17.436094;tf;deep cave;42.75837817.436094;6;;14,6;12,7875;;;;;;;;;;;;;;;;;;;
111;Male ponte;Croatia;9.4.2007.;2007-04-09;1 f;1;Linyphiidae;Palliduphantes;sp. 1;Palliduphantes sp. 1;;42.761389;17.430786;tf;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
112;Ostaševica;Croatia;8.4.2007.;2007-04-08;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;220;42.748959;17.544404;tb;deep cave;42.74895917.544404;9;11,6;;;;;;;;;;;;;;;;;;;;;
113;Špilja kod Nerezinog dola;Croatia;7.4.2007.;2007-04-07;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;;42.758378;17.436094;tb;deep cave;42.75837817.436094;6;;14,6;12,7875;;;;;;;;;;;;;;;;;;;
114;Male ponte;Croatia;9.4.2007.;2007-04-09;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;250;42.761389;17.430786;tb;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
118;Gali?njak;Croatia;10.4.2007.;2007-04-10;1m;1;Nemesiidae;Nemesia;sp. 1;Nemesia sp. 1;;42.720118;17.67071;;;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
119;Gali?njak;Croatia;14.4.2007.;2007-04-14;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;;42.720118;17.67071;tb;deep cave;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
120;Male ponte;Croatia;9.4.2007.;2007-04-09;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;250;42.761389;17.430786;tb;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
122;Movrica;Croatia;8.4.2007.;2007-04-08;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;;42.752604;17.551145;tb;deep cave;42.75260417.551145;6;12,6;;;;;;;;;;;;;;;;;;;;;
123;Špilja kod Vrha spile;Croatia;9.4.2007.;2007-04-09;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;;42.776757;17.420591;tb;deep cave;42.77675717.420591;3;9,4;;;;;;;;;;;;;;;;;;;;;
124;Mala špilja, Blato;Croatia;12.4.2007.;2007-04-12;2 juv;2;Dysderidae;Folkia;inermis;Folkia inermis;;42.764498;17.471054;Tb;deep cave;42.76449817.471054;5;;;;;;;;;;;;;;;;;;;;;;
125;Gali?njak;Croatia;10.4.2007.;2007-04-10;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;42.720118;17.67071;;;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
126;Špilja u Solinama;Croatia;11.4.2007.;2007-04-11;1 juv;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;17;42.768021;17.377062;Tb;deep cave;42.76802117.377062;5;;;7,6;;;;;;;;;;;;;;;;;;;
127;Mala špilja, Blato;Croatia;12.4.2007.;2007-04-12;1 juv;1;Dysderidae;Folkia;inermis;Folkia inermis;;42.764498;17.471054;Tb;deep cave;42.76449817.471054;5;;;;;;;;;;;;;;;;;;;;;;
128;Male ponte;Croatia;9.4.2007.;2007-04-09;1 juv;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;;42.761389;17.430786;Tb;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
129;Špilja kod Nerezinog dola;Croatia;7.4.2007.;2007-04-07;1 juv;1;Dysderidae;Folkia;inermis;Folkia inermis;;42.758378;17.436094;Tb;deep cave;42.75837817.436094;6;;14,6;12,7875;;;;;;;;;;;;;;;;;;;
130;Mala špilja, Blato;Croatia;12.4.2007.;2007-04-12;1 juv;1;Dysderidae;Folkia;inermis;Folkia inermis;;42.764498;17.471054;Tb;deep cave;42.76449817.471054;5;;;;;;;;;;;;;;;;;;;;;;
131;Male ponte;Croatia;13.4.2007.;2007-04-13;1f;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;;42.761389;17.430786;Tb;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
133;Movrica;Croatia;8.4.2007.;2007-04-08;1 f;1;Linyphiidae;Bathyphantes;sp. 1;Bathyphantes sp. 1;;42.752604;17.551145;Tx;;42.75260417.551145;6;12,6;;;;;;;;;;;;;;;;;;;;;
134;Špilja u Solinama;Croatia;11.4.2007.;2007-04-11;1 f;1;Familia x;Gen.;sp.;Gen. sp.;17;42.768021;17.377062;;;42.76802117.377062;5;;;7,6;;;;;;;;;;;;;;;;;;;
135;Male ponte;Croatia;9.4.2007.;2007-04-09;1 f;1;Linyphiidae;Bathyphantes;sp. 1;Bathyphantes sp. 1;;42.761389;17.430786;Tx;;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
136;Mala špilja, Blato;Croatia;12.4.2007.;2007-04-12;1 f;1;Linyphiidae;Bathyphantes;sp. 1;Bathyphantes sp. 1;;42.764498;17.471054;Tx;;42.76449817.471054;5;;;;;;;;;;;;;;;;;;;;;;
139;Ostaševica;Croatia;28.4.2008.;2008-04-28;1m;1;Dysderidae;Folkia;inermis;Folkia inermis;220;42.748959;17.544404;Tb;deep cave;42.74895917.544404;9;11,6;;;;;;;;;;;;;;;;;;;;;
140;Ostaševica;Croatia;28.4.2008.;2008-04-28;1m;1;Agelenidae;Histopona;bidens;Histopona bidens;220;42.748959;17.544404;tb;deep cave;42.74895917.544404;9;11,6;;;;;;;;;;;;;;;;;;;;;
141;Jama Me?ugra?en;Croatia;30.4.2008.;2008-04-30;3 juv;3;Agelenidae;Histopona;bidens;Histopona bidens;;42.737934;17.55671;tb;deep cave;42.73793417.55671;3;15,8;;;;;;;;;;;;;;;;;;;;;
142;Jama Me?ugra?en;Croatia;30.4.2008.;2008-04-30;1f;1;Dysderidae;Folkia;inermis;Folkia inermis;;42.737934;17.55671;Tb;deep cave;42.73793417.55671;3;15,8;;;;;;;;;;;;;;;;;;;;;
143;Vilina špilja-Izvor Omble;Croatia;1.11.2008.;2008-11-01;2m, 1 juv;3;Leptonetidae;Sulcia;sp. 2;Sulcia sp. 2;137;42.67716;18.136236;Tb;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
144;Mo?iljska špilja;Croatia;1.11.2008.;2008-11-01;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;410;42.689061;18.071906;tf;deep cave;42.68906118.071906;6;;15,4;15,825;;;;;;;;;;;;;;;;;;;
146;Debela ljut;Croatia;31.10.2008.;2008-10-31;1f, 2 juv;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;258;42.717699;18.022036;tf;deep cave;42.71769918.022036;8;;15,6;13,78333333;;;;;;;;;;;;;;;;;;;
147;Debela ljut;Croatia;31.10.2008.;2008-10-31;1 f;1;Linyphiidae;Gen.;sp. X;Gen. sp. X;;42.717699;18.022036;;;42.71769918.022036;8;;15,6;13,78333333;;;;;;;;;;;;;;;;;;;
148;Banova ljut;Croatia;31.10.2008.;2008-10-31;1 juv m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.724023;18.023649;tf;deep cave;42.72402318.023649;4;15,2;;;;;;;;;;;;;;;;;;;;;
