sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature ;deepest air temperature;média temperature;;;;;;;;;;;;;;;;;;;
4322;Šoi?a pe?ina;Croatia;5.9.2016.;2016-09-05;1f;1;Dysderidae;Parastalita;stygia;Parastalita stygia;;44.707894;15.264781;Tb;deep cave;44.70789415.264781;1;;;;;;;;;;;;;;;;;;;;;;
4323;Gornja Cerova?ka špilja;Croatia;19.12.2015.;2015-12-19;1f;1;Dysderidae;Parastalita;stygia;Parastalita stygia;700;44.273382;15.884227;Tb;deep cave;44.27338215.884227;2;;;;;;;;;;;;;;;;;;;;;;
4324;Ko?ije brdo-zemlja;Croatia;15.4.2011.;2011-04-15;4juv;4;Dysderidae;Dysdera;sp.;Dysdera sp.;;42.952451;17.091543;Tx;;42.95245117.091543;1;;;;;;;;;;;;;;;;;;;;;;
4325;Jakasova spila;Croatia;20.4.2016.;2016-04-20;1juv;1;Dysderidae;Folkia;haasi;Folkia haasi;;42.91615;17.12834;Tb;deep cave;42.9161517.12834;1;;;;;;;;;;;;;;;;;;;;;;
4327;Mjese?evi?a špilja;Croatia;20.12.2012.;2012-12-20;1juv;1;Dysderidae;Stalagtia;sp. 1;Stalagtia sp. 1;;42.480511;18.411965;Tb;deep cave;42.48051118.411965;3;;;;;;;;;;;;;;;;;;;;;;
4328;Špilja pod Zimzelom;Croatia;3.10.2015.;2015-10-03;1m, 1f;2;Dysderidae;Parastalita;stygia;Parastalita stygia;765;45.281948;15.115239;Tb;deep cave;45.28194815.115239;1;8;;;;;;;;;;;;;;;;;;;;;
4329;Jama kod šumarske ku?e;Croatia;9.11.2016.;2016-11-09;1m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;926;45.336159;14.926119;Tb;deep cave;45.33615914.926119;1;;;;;;;;;;;;;;;;;;;;;;
4331;Ostaševica;Croatia;4.12.2001.;2001-12-04;1f, 3juv;4;Agelenidae;Histopona;bidens;Histopona bidens;;42.748959;17.544404;tb;deep cave;42.74895917.544404;9;11,6;;;;;;;;;;;;;;;;;;;;;
4332;Vrelo;Croatia;3.10.2015.;2015-10-03;1m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;730;45.326489;14.704217;Tb;deep cave;45.32648914.704217;8;;;;;;;;;;;;;;;;;;;;;;
4333;Jama kod Lugarnice;Croatia;4.10.2015.;2015-10-04;1m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;570;45.327864;15.092353;Tb;deep cave;45.32786415.092353;3;;;;;;;;;;;;;;;;;;;;;;
4334;Jama kod Lugarnice;Croatia;4.10.2015.;2015-10-04;1f, 1juvm, 2juv;4;Linyphiidae;Troglohyphantes;croaticus;Troglohyphantes croaticus;570;45.327864;15.092353;tb;deep cave;45.32786415.092353;3;;;;;;;;;;;;;;;;;;;;;;
4335;Jama na Smokovo;Croatia;23.2.2013.;2013-02-23;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;194;43.054032;16.240389;tf;deep cave;43.05403216.240389;1;;;;;;;;;;;;;;;;;;;;;;
4340;Špilja pod Ma?kovom dragom;Croatia;9.10.2015.;2015-10-09;1f;1;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.261001;15.023822;Tb;deep cave;45.26100115.023822;1;7,4;;;;;;;;;;;;;;;;;;;;;
4341;Špilja od Vore;Croatia;31.3.2013.;2013-03-31;1f, 1juvm, 1juv;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.057273;16.135641;tf;deep cave;43.05727316.135641;1;;;;;;;;;;;;;;;;;;;;;;
4342;Jama kod šumarske ku?e;Croatia;4.10.2015.;2015-10-04;1f;1;Dysderidae;Parastalita;stygia;Parastalita stygia;926;45.336159;14.926119;Tb;deep cave;45.33615914.926119;1;;;;;;;;;;;;;;;;;;;;;;
4343;?utno;Croatia;20.3.2016.;2016-03-20;1juv;1;Dysderidae;Stalita;pretneri;Stalita pretneri;210;45.415607;15.233039;Tb;deep cave;45.41560715.233039;4;;;;;;;;;;;;;;;;;;;;;;
4344;Tu?epska vilenja?a;Croatia;30.4.2012.;2012-04-30;1f;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;1181;43.286465;17.083638;Tb;deep cave;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4345;?utno;Croatia;20.3.2016.;2016-03-20;2juv;2;Dysderidae;Stalita;pretneri;Stalita pretneri;210;45.415607;15.233039;Tb;deep cave;45.41560715.233039;4;;;;;;;;;;;;;;;;;;;;;;
4346;Mjese?evi?a špilja;Croatia;20.12.2012.;2012-12-20;1juv;1;Dysderidae;Stalagtia;sp. 1;Stalagtia sp. 1;;42.480511;18.411965;Tb;deep cave;42.48051118.411965;3;;;;;;;;;;;;;;;;;;;;;;
4349;Jama na Teruncu;Croatia;20.6.2013.;2013-06-20;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.13221;16.991729;tf;deep cave;43.1322116.991729;2;;;;;;;;;;;;;;;;;;;;;;
4350;Mandelaja;Croatia;17.4.2016.;2016-04-17;1f;1;Linyphiidae;Troglohyphantes;croaticus;Troglohyphantes croaticus;340;45.233397;15.30015;tb;deep cave;45.23339715.30015;7;;;;;;;;;;;;;;;;;;;;;;
4351;Gornja Cerova?ka špilja;Croatia;9.1.2016.;2016-01-09;1f;1;Agelenidae;Tegenaria;sp. 5;Tegenaria sp. 5;700;44.27338;15.88422;;;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
4352;Gornja Cerova?ka špilja;Croatia;9.1.2016.;2016-01-09;1f;1;Dysderidae;Harpactea;sp. 25;Harpactea sp. 25;700;44.27338;15.88422;;;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
4353;Jama pod Sinji kuk;Croatia;31.10.2016.;2016-10-31;3 juv;3;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.709828;17.988632;Tb;deep cave;42.70982817.988632;5;16,2;;;;;;;;;;;;;;;;;;;;;
4354;Jama pod Sinji kuk;Croatia;31.10.2016.;2016-10-31;3juvm, 2 juv;5;Leptonetidae;Gen. 1;sp. 1;Gen. 1 sp. 1;;42.709828;17.988632;Tb;deep cave;42.70982817.988632;5;16,2;;;;;;;;;;;;;;;;;;;;;
4355;Riobamba jama;Croatia;21.3.2009.;2009-03-21;1m;1;Nesticidae;Nesticus;cellulanus;Nesticus cellulanus;;45.64562;15.421545;tf;deep cave;45.6456215.421545;2;;;;;;;;;;;;;;;;;;;;;;
4360;Veternica;Croatia;1.12.2012.;2012-12-01;1juvm;1;Nesticidae;Nesticus;cellulanus;Nesticus cellulanus;330;45.841058;15.873642;tf;deep cave;45.84105815.873642;6;;;;;;;;;;;;;;;;;;;;;;
4361;Strmoti?a ponor;Croatia;5.4.2014.;2014-04-05;1f, 2juv;3;Linyphiidae;Troglohyphantes;roberti;Troglohyphantes roberti;;44.323452;15.694194;tb;deep cave;44.32345215.694194;1;;;;;;;;;;;;;;;;;;;;;;
4365;Lokvarka;Croatia;1.11.2015.;2015-11-01;1m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;775;45.361466;14.762671;Tb;deep cave;45.36146614.762671;2;;;;;;;;;;;;;;;;;;;;;;
4366;Sini?i? špilja;Croatia;30.11.2013.;2013-11-30;1juvm, 1juv;2;Agelenidae;Tegenaria;sp.;Tegenaria sp.;;44.990698;15.177848;;;44.99069815.177848;6;;;;;;;;;;;;;;;;;;;;;;
4369;Sini?i? špilja;Croatia;5.5.2013.;2013-05-05;1juvm;1;Agelenidae;Tegenaria;sp.;Tegenaria sp.;;44.990698;15.177848;;;44.99069815.177848;6;;;;;;;;;;;;;;;;;;;;;;
4371;Vrlovka;Croatia;30.12.2016.;2016-12-30;1m;1;Tetragnathidae;Meta;menardi;Meta menardi;;45.63707;15.390544;Tf;deep cave;45.6370715.390544;2;;;;;;;;;;;;;;;;;;;;;;
4372;Koraljna jama;Croatia;11.5.2012.;2012-05-11;1m;1;Linyphiidae;Troglohyphantes;strandi;Troglohyphantes strandi;;43.544994;16.638058;tb;deep cave;43.54499416.638058;3;;;;;;;;;;;;;;;;;;;;;;
4374;Makluta?a;Croatia;12.5.2013.;2013-05-12;1m, 2f;3;Linyphiidae;Troglohyphantes;strandi;Troglohyphantes strandi;400;43.569268;16.620515;tb;deep cave;43.56926816.620515;6;;;;;;;;;;;;;;;;;;;;;;
4378;Rabakova pe?ina;Croatia;17.7.2016.;2016-07-17;1f, 1juvm;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;390;45.36881;14.076973;tb;deep cave;45.3688114.076973;2;;;;;;;;;;;;;;;;;;;;;;
4379;Pazinska jama;Croatia;2.10.2016.;2016-10-02;1juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.240141;13.930741;;deep cave;45.24014113.930741;3;;;;;;;;;;;;;;;;;;;;;;
4380;Pazinska jama;Croatia;2.10.2016.;2016-10-02;1f, 3m;4;Linyphiidae;Porrhomma;convexum;Porrhomma convexum;;45.240141;13.930741;;deep cave;45.24014113.930741;3;;;;;;;;;;;;;;;;;;;;;;
4381;Pazinska jama;Croatia;2.10.2016.;2016-10-02;1f;1;Linyphiidae;Diplocephalus;cristatus;Diplocephalus cristatus;;45.240141;13.930741;;;45.24014113.930741;3;;;;;;;;;;;;;;;;;;;;;;
4383;Gorska jama;Croatia;19.5.2013.;2013-05-19;1f;1;Leptonetidae;Barusia;maheni;Barusia maheni;;42.92697;17.424809;tf;deep cave;42.9269717.424809;2;16;;;;;;;;;;;;;;;;;;;;;
4385;Pušina;Croatia;21.6.2014.;2014-06-21;1m, 2f, 1juvm;4;Linyphiidae;Porrhomma;egeria;Porrhomma egeria;724;45.740585;15.35653;;deep cave;45.74058515.35653;4;;;;;;;;;;;;;;;;;;;;;;
4386;Jamina Vazmineš;Croatia;14.8.2016.;2016-08-14;9juv;9;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.137312;14.342184;;deep cave;45.13731214.342184;1;;;;;;;;;;;;;;;;;;;;;;
4387;Spilja od Tankega rota;Croatia;17.6.2013.;2013-06-17;1m, 2f, 2juv;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;115;43.012832;16.111537;tf;deep cave;43.01283216.111537;1;;;;;;;;;;;;;;;;;;;;;;
4388;Veliki rudnik;Croatia;22.2.2013.;2013-02-22;2f, 1juv;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;302;43.054596;16.129638;tf;deep cave;43.05459616.129638;1;;;;;;;;;;;;;;;;;;;;;;
4390;Led 1;Croatia;19.5.2016.;2016-05-19;1f;1;Linyphiidae;Troglohyphantes;sp. 8;Troglohyphantes sp. 8;1475;43.344045;17.057588;Tf;deep cave;43.34404517.057588;3;;;;;;;;;;;;;;;;;;;;;;
4392;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1f;1;Agelenidae;Histopona;conveniens;Histopona conveniens;;43.382476;17.040666;Tf;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4393;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1juv;1;Agelenidae;Tegenaria;sp.;Tegenaria sp.;;43.382476;17.040666;;;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4394;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1f?;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;43.382476;17.040666;Tb;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4395;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.382476;17.040666;Tb;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4396;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1m;1;Agelenidae;Histopona;conveniens;Histopona conveniens;;43.382476;17.040666;Tf;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4397;Gradska spila;Croatia;15.5.2016.;2016-05-15;1f, 1m, 4 juv;6;Leptonetidae;Sulcia;sp.;Sulcia sp.;755;43.318029;17.117623;;;43.31802917.117623;4;;;;;;;;;;;;;;;;;;;;;;
4398;Gradska spila;Croatia;15.5.2016.;2016-05-15;1m, 1juv;2;Dysderidae;Harpactea;damini;Harpactea damini;755;43.318029;17.117623;TF;deep cave;43.31802917.117623;4;;;;;;;;;;;;;;;;;;;;;;
4399;Špilja u Radinovcima;Croatia;15.5.2016.;2016-05-15;1f, 3 juv;4;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;400;43.387285;17.0103;tb;deep cave;43.38728517.0103;4;;;;;;;;;;;;;;;;;;;;;;
4400;Mala špilja kod Neori?a;Croatia;21.5.2016.;2016-05-21;1juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.686348;16.548611;;deep cave;43.68634816.548611;3;;;;;;;;;;;;;;;;;;;;;;
4401;Jama pod Barišinovcem;Croatia;21.5.2016.;2016-05-21;1m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.695911;16.308069;tf;deep cave;43.69591116.308069;5;;;;;;;;;;;;;;;;;;;;;;
4402;Jama iznad Sarana?a;Croatia;17.5.2016.;2016-05-17;1juvm;1;Agelenidae;Histopona;sp.;Histopona sp.;770;43.249007;17.174663;;;43.24900717.174663;7;;;;;;;;;;;;;;;;;;;;;;
4403;Jama za Supinom;Croatia;18.5.2016.;2016-05-18;1f;1;Linyphiidae;Palliduphantes;sp. X;Palliduphantes sp. X;;43.250417;17.113278;;;43.25041717.113278;7;;;;;;;;;;;;;;;;;;;;;;
4404;Spila 2;Croatia;14.5.2016.;2016-05-14;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.26239;17.204021;Tb;deep cave;43.2623917.204021;6;;;;;;;;;;;;;;;;;;;;;;
4405;Spila 2;Croatia;14.5.2016.;2016-05-14;1f;1;Leptonetidae;Gen.;sp.;Gen. sp.;;43.26239;17.204021;;;43.2623917.204021;6;;;;;;;;;;;;;;;;;;;;;;
4406;Spila 2;Croatia;14.5.2016.;2016-05-14;1juv;1;Dysderidae;Harpactea;damini;Harpactea damini;338;43.26239;17.204021;TF;deep cave;43.2623917.204021;6;;;;;;;;;;;;;;;;;;;;;;
4407;Spila 2;Croatia;14.5.2016.;2016-05-14;1juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;43.26239;17.204021;Tb;deep cave;43.2623917.204021;6;;;;;;;;;;;;;;;;;;;;;;
4408;Ješkalovica;Croatia;18.6.2013.;2013-06-18;4f, 1juvf;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.299857;16.839313;tf;deep cave;43.29985716.839313;2;;;;;;;;;;;;;;;;;;;;;;
4409;Mala špilja kod Neori?a;Croatia;21.5.2016.;2016-05-21;1juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.686348;16.548611;;deep cave;43.68634816.548611;3;;;;;;;;;;;;;;;;;;;;;;
4410;Mala špilja kod Neori?a;Croatia;21.5.2016.;2016-05-21;1juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;43.686348;16.548611;;;43.68634816.548611;3;;;;;;;;;;;;;;;;;;;;;;
4411;Mi?oletova jama;Croatia;17.5.2016.;2016-05-17;1m, 2f;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.565689;16.300318;tf;deep cave;43.56568916.300318;1;;;;;;;;;;;;;;;;;;;;;;
4413;Matijaševa pe?;Croatia;15.5.2016.;2016-05-15;1f, 1juv;2;Agelenidae;Histopona;conveniens;Histopona conveniens;584;43.320551;17.122321;Tf;deep cave;43.32055117.122321;6;;;;;;;;;;;;;;;;;;;;;;
4414;Velika špilja kod Antunovi?a;Croatia;17.5.2016.;2016-05-17;1juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;43.276843;17.227143;Tb;deep cave;43.27684317.227143;1;;;;;;;;;;;;;;;;;;;;;;
4415;Tu?epska vilenja?a;Croatia;20.5.2016.;2016-05-20;1f;1;Agelenidae;Histopona;conveniens;Histopona conveniens;1181;43.286465;17.083638;Tf;deep cave;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4416;Tu?epska vilenja?a;Croatia;20.5.2016.;2016-05-20;1m, 1juv/f;2;Leptonetidae;Barusia;maheni;Barusia maheni;1181;43.286465;17.083638;tf;deep cave;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4417;Kukor;Croatia;16.5.2016.;2016-05-16;2f, 4juv;6;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43.355609;16.991707;tb;deep cave;43.35560916.991707;10;;;;;;;;;;;;;;;;;;;;;;
4418;Kukor;Croatia;16.5.2016.;2016-05-16;1juv;1;Scytodidae;Scytodes;thoracica;Scytodes thoracica;425;43.355609;16.991707;Tx;;43.35560916.991707;10;;;;;;;;;;;;;;;;;;;;;;
4420;Špilja u Radinovcima;Croatia;1.5.2014.;2014-05-01;1juv;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;400;43.387285;17.0103;TB;deep cave;43.38728517.0103;4;;;;;;;;;;;;;;;;;;;;;;
4421;Špilja u Radinovcima;Croatia;15.5.2016.;2016-05-15;1f, 3juvm;4;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;400;43.387285;17.0103;tb;deep cave;43.38728517.0103;4;;;;;;;;;;;;;;;;;;;;;;
4422;Špilja u Radinovcima;Croatia;15.5.2016.;2016-05-15;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;400;43.387285;17.0103;Tb;deep cave;43.38728517.0103;4;;;;;;;;;;;;;;;;;;;;;;
4423;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;1juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.382476;17.040666;Tb;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4426;Matijaševa pe?;Croatia;15.5.2016.;2016-05-15;1m, 1f, 2juv;4;Leptonetidae;Sulcia;sp.;Sulcia sp.;584;43.320551;17.122321;;;43.32055117.122321;6;;;;;;;;;;;;;;;;;;;;;;
4427;Spila 1;Croatia;14.5.2016.;2016-05-14;1juvm;1;Agelenidae;Histopona;sp.;Histopona sp.;;43.262438;17.203945;;;43.26243817.203945;3;;;;;;;;;;;;;;;;;;;;;;
4428;Spila 1;Croatia;14.5.2016.;2016-05-14;2m, 2f, 2juv;6;Leptonetidae;Sulcia;sp.;Sulcia sp.;;43.262438;17.203945;;;43.26243817.203945;3;;;;;;;;;;;;;;;;;;;;;;
4430;Tu?epska vilenja?a;Croatia;18.5.2016.;2016-05-18;1m, 5f;6;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1181;43.286465;17.083638;Tb;deep cave;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4431;Golubinka u kalaševin dugin njivaman;Croatia;21.5.2016.;2016-05-21;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.681411;16.309627;tf;deep cave;43.68141116.309627;3;;;;;;;;;;;;;;;;;;;;;;
4432;Jama za Supinom;Croatia;18.5.2016.;2016-05-18;1f, 1juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.250417;17.113278;Tb;deep cave;43.25041717.113278;7;;;;;;;;;;;;;;;;;;;;;;
4433;Tu?epska vilenja?a;Croatia;18.5.2016.;2016-05-18;1juvm;1;Agelenidae;Histopona;sp.;Histopona sp.;1181;43.286465;17.083638;;;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4434;Tu?epska vilenja?a;Croatia;18.5.2016.;2016-05-18;1m, 1f, 1juv;3;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1181;43.286465;17.083638;Tb;deep cave;43.28646517.083638;8;;;;;;;;;;;;;;;;;;;;;;
4435;Matijaševa pe?;Croatia;15.5.2016.;2016-05-15;1f;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;584;43.320551;17.122321;tb;deep cave;43.32055117.122321;6;;;;;;;;;;;;;;;;;;;;;;
4437;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;2f, 1juvm;3;Agelenidae;Histopona;conveniens;Histopona conveniens;;43.382476;17.040666;Tf;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4438;Špilja u Gaju;Croatia;16.5.2016.;2016-05-16;2juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.382476;17.040666;Tb;deep cave;43.38247617.040666;7;;;;;;;;;;;;;;;;;;;;;;
4439;Jama pod Barišinovcem;Croatia;21.5.2016.;2016-05-21;1m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.695911;16.308069;tf;deep cave;43.69591116.308069;5;;;;;;;;;;;;;;;;;;;;;;
4492;Rudnik Minjera;Croatia;22.6.2011.;2011-06-22;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;43.361342;16.60633;tf;deep cave;43.36134216.60633;2;;;;;;;;;;;;;;;;;;;;;;
4494;Samograd;Croatia;16.4.2011.;2011-04-16;1m, 1f;2;Linyphiidae;Palliduphantes;sp. X;Palliduphantes sp. X;;42.970451;16.995978;;;42.97045116.995978;4;;;;;;;;;;;;;;;;;;;;;;
4495;Pišurka;Croatia;18.4.2011.;2011-04-18;1juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.959451;17.129228;;deep cave;42.95945117.129228;5;;;;;;;;;;;;;;;;;;;;;;
4496;Samograd;Croatia;16.4.2011.;2011-04-16;1f;1;Linyphiidae;Palliduphantes;sp. X;Palliduphantes sp. X;;42.970451;16.995978;;;42.97045116.995978;4;;;;;;;;;;;;;;;;;;;;;;
4497;Tabaina špilja;Croatia;19.4.2011.;2011-04-19;5juv;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.969749;16.71696;;deep cave;42.96974916.71696;1;;;;;;;;;;;;;;;;;;;;;;
4498;Balešina jama;Croatia;28.4.2012.;2012-04-28;1f;1;Linyphiidae;Palliduphantes;sp. X;Palliduphantes sp. X;310;43.578743;16.580621;;;43.57874316.580621;5;;;;;;;;;;;;;;;;;;;;;;
4499;Jama u Kukljici;Croatia;18.11.2007.;2007-11-18;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;44.037219;15.242822;tf;deep cave;44.03721915.242822;1;;;;;;;;;;;;;;;;;;;;;;
4500;Jama pod Vošcem;Croatia;30.4.2012.;2012-04-30;1juvm;1;Agelenidae;Histopona;sp.;Histopona sp.;;43.309566;17.046435;;;43.30956617.046435;1;;;;;;;;;;;;;;;;;;;;;;
4501;Jujnovi?a špilja;Croatia;1.5.2012.;2012-05-01;2f;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;405;43.266579;17.19798;Tb;deep cave;43.26657917.19798;6;;;;;;;;;;;;;;;;;;;;;;
4502;Velika špilja kod Neori?a;Croatia;28.4.2012.;2012-04-28;1juv;1;Agelenidae;Histopona;sp.;Histopona sp.;703;43.686117;16.55312;;;43.68611716.55312;2;;;;;;;;;;;;;;;;;;;;;;
4503;Velika špilja kod Neori?a;Croatia;28.4.2012.;2012-04-28;1juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;703;43.686117;16.55312;;;43.68611716.55312;2;;;;;;;;;;;;;;;;;;;;;;
4504;Mala špilja pod Spilom;Croatia;30.4.2012.;2012-04-30;1f;1;Agelenidae;Histopona;conveniens;Histopona conveniens;;43.262462;17.200927;Tf;deep cave;43.26246217.200927;2;;;;;;;;;;;;;;;;;;;;;;
4505;Mala špilja pod Spilom;Croatia;30.4.2012.;2012-04-30;1juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;43.262462;17.200927;Tb;deep cave;43.26246217.200927;2;;;;;;;;;;;;;;;;;;;;;;
4506;Jama pod Vošcem;Croatia;30.4.2012.;2012-04-30;1juvm;1;Agelenidae;Histopona;sp.;Histopona sp.;;43.309566;17.046435;;;43.30956617.046435;1;;;;;;;;;;;;;;;;;;;;;;
4507;Jama na vrhu Malog Šibenika;Croatia;1.5.2012.;2012-05-01;3m, 3f, 4juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.281102;17.233483;Tb;deep cave;43.28110217.233483;2;;;;;;;;;;;;;;;;;;;;;;
4508;Makluta?a;Croatia;29.4.2012.;2012-04-29;1f, 2juvm;3;Linyphiidae;Troglohyphantes;giromettai;Troglohyphantes giromettai;400;43.569268;16.620515;tf;deep cave;43.56926816.620515;6;;;;;;;;;;;;;;;;;;;;;;
4509;Jama na vrhu Malog Šibenika;Croatia;1.5.2012.;2012-05-01;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.281102;17.233483;Tb;deep cave;43.28110217.233483;2;;;;;;;;;;;;;;;;;;;;;;
4511;Kravska jama 1;Croatia;29.4.2012.;2012-04-29;1juvm;1;Linyphiidae;Troglohyphantes;dalmaticus;Troglohyphantes dalmaticus;;43.549165;16.637531;tf;deep cave;43.54916516.637531;4;;;;;;;;;;;;;;;;;;;;;;
4513;Kravska jama 1;Croatia;29.4.2012.;2012-04-29;1juv;1;Dysderidae;Rhode;sp. 3;Rhode sp. 3;;43.549165;16.637531;Tb;deep cave;43.54916516.637531;4;;;;;;;;;;;;;;;;;;;;;;
4514;Stonjska pe? donja;Croatia;1.5.2012.;2012-05-01;1juv;1;Dysderidae;Harpactea;damini;Harpactea damini;608;43.315167;17.130659;TF;deep cave;43.31516717.130659;6;;;;;;;;;;;;;;;;;;;;;;
4515;Jama na vrhu Malog Šibenika;Croatia;1.5.2012.;2012-05-01;1juvm;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43.281102;17.233483;Tb;deep cave;43.28110217.233483;2;;;;;;;;;;;;;;;;;;;;;;
4517;Kuštrovka;Croatia;24.9.2016.;2016-09-24;1m, 3f, 2juv;6;Linyphiidae;Troglohyphantes;croaticus;Troglohyphantes croaticus;450;45.346234;15.219338;tb;deep cave;45.34623415.219338;3;;;;;;;;;;;;;;;;;;;;;;
4518;Gornja Cerova?ka špilja;Croatia;19.12.2015.;2015-12-19;1juvm, 1juv;2;Linyphiidae;Troglohyphantes;roberti;Troglohyphantes roberti;700;44.27338;15.88422;tb;deep cave;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
4519;Gornja Cerova?ka špilja;Croatia;19.12.2015.;2015-12-19;2f, 1m, 6juv;9;Linyphiidae;Troglohyphantes;roberti;Troglohyphantes roberti;700;44.27338;15.88422;tb;deep cave;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
4520;Gornja Cerova?ka špilja;Croatia;19.12.2015.;2015-12-19;1f, 1juv;2;Linyphiidae;Troglohyphantes;roberti;Troglohyphantes roberti;700;44.27338;15.88422;tb;deep cave;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
4521;Gornja Cerova?ka špilja;Croatia;20.12.2015.;2015-12-20;1juvm, 1juv;2;Linyphiidae;Troglohyphantes;roberti;Troglohyphantes roberti;700;44.27338;15.88422;tb;deep cave;44.2733815.88422;5;;;;;;;;;;;;;;;;;;;;;;
