sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
70,Špilja u Solinama,Croatia,26.4.2008.,2008-04-26,1 juv,1,Dysderidae,Gen. ,sp.,Gen.  sp.,,42.768021,17.377062,Tb,deep cave,#N/A
71,Špilja u Solinama,Croatia,26.4.2008.,2008-04-26,1 juv,1,Dysderidae,Folkia,sp. 5,Folkia sp. 5,,42.768021,17.377062,Tb,deep cave,#N/A
72,Jama na Brekalcima,Croatia,29.4.2008.,2008-04-29,1f,1,Agelenidae,Histopona,bidens,Histopona bidens,,42.781895,17.407747,tb,deep cave,#N/A
73,Špilja kod Nerezinog dola,Croatia,27.4.2008.,2008-04-27,1 juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,201,42.758378,17.436094,,deep cave,#N/A
74,Male ponte,Croatia,27.4.2008.,2008-04-27,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,250,42.761389,17.430786,tb,deep cave,#N/A
75,Jama za Sv. Ilijom,Croatia,2.5.2008.,2008-05-02,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,,42.744428,17.515269,tb,deep cave,#N/A
76,Jama na Žutim kokom,Croatia,2.5.2008.,2008-05-02,1 juv,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.712746,17.682621,Tb,deep cave,#N/A
77,Galičnjak,Croatia,2.5.2008.,2008-05-02,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,,42.720118,17.67071,tb,deep cave,#N/A
78,Galičnjak,Croatia,2.5.2008.,2008-05-02,1 f,1,Leptonetidae,Sulcia,sp. 6,Sulcia sp. 6,,42.720118,17.67071,Tf,cave entrance,#N/A
79,Galičnjak,Croatia,2.5.2008.,2008-05-02,"2 m, 2 f, 1 juv",5,Leptonetidae,Sulcia,sp. 6,Sulcia sp. 6,,42.720118,17.67071,Tf,cave entrance,#N/A
80,Galičnjak,Croatia,2.5.2008.,2008-05-02,"1m, 1f, 1 juv",3,Leptonetidae,Sulcia,sp. 6,Sulcia sp. 6,,42.720118,17.67071,Tf,cave entrance,#N/A
86,Galičnjak,Croatia,2.5.2008.,2008-05-02,"2 m, 1 juv",3,Leptonetidae,Barusia,maheni,Barusia maheni,,42.720118,17.67071,tf,deep cave,#N/A
87,Špilja kod Nerezinog dola,Croatia,27.4.2008.,2008-04-27,1 juv f,1,Leptonetidae,Barusia,maheni,Barusia maheni,,42.758378,17.436094,tf,deep cave,#N/A
89,Movrica,Croatia,28.4.2008.,2008-04-28,"1 f, 2 juv m",3,Leptonetidae,Sulcia,nocturna,Sulcia nocturna,,42.752604,17.551145,,deep cave,#N/A
90,Male ponte,Croatia,27.4.2008.,2008-04-27,1 f,1,Linyphiidae,Palliduphantes,sp. 1,Palliduphantes sp. 1,,42.761389,17.430786,tf,deep cave,#N/A
96,Male ponte,Croatia,14.4.2007.,2007-04-14,"1f, 1 juv",2,Leptonetidae,Sulcia,nocturna,Sulcia nocturna,,42.761389,17.430786,,deep cave,#N/A
98,Galičnjak,Croatia,10.4.2007.,2007-04-10,1 m,1,Leptonetidae,Barusia,maheni,Barusia maheni,,42.720118,17.67071,tf,deep cave,#N/A
99,Ostaševica,Croatia,8.4.2007.,2007-04-08,"1f, 1 juv",2,Leptonetidae,Sulcia,nocturna,Sulcia nocturna,220,42.748959,17.544404,,deep cave,#N/A
100,Galičnjak,Croatia,14.4.2007.,2007-04-14,1 m,1,Leptonetidae,Barusia,maheni,Barusia maheni,,42.720118,17.67071,tf,deep cave,#N/A
102,Male ponte,Croatia,9.4.2007.,2007-04-09,1 f,1,Leptonetidae,Barusia,maheni,Barusia maheni,,42.761389,17.430786,tf,deep cave,#N/A
