sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
1141,Tounjčica,Croatia,18.6.2006.,2006-06-18,2 f,2,Linyphiidae,Troglohyphantes,croaticus,Troglohyphantes croaticus,306,45.248.722,15.322.408,Tb,deep cave,,5,,14,"10,14599991","10,14599991","28,85200119",1306,23,"353,7031634",,,nan,nan,1,nan,nan,nan
1142,Golubinka više Mršića strane,Croatia,5.8.2006.,2006-08-05,2 f,2,Linyphiidae,Troglohyphantes,roberti,Troglohyphantes roberti,473,4.412.501,15.807.683,tb,deep cave,,3,"7,1","7,45","12,67350006","12,67350006","28,27199936",949,23,"206,3976041",,,,,,,,
1143,Tounjčica,Croatia,19.8.1999.,1999-08-19,3 f,3,Linyphiidae,Troglohyphantes,croaticus,Troglohyphantes croaticus,306,45.248.722,15.322.408,Tb,deep cave,,5,,14,"10,14599991","10,14599991","28,85200119",1306,23,"353,7031634",,,nan,nan,1,nan,nan,nan
1147,Đutno,Croatia,27.1.2001.,2001-01-27,"1 f,1 juv",2,Linyphiidae,Troglohyphantes,croaticus,Troglohyphantes croaticus,218,45.415.607,15.233.039,tb,deep cave,,4,,"7,75","10,4248333","10,4248333","28,8239994",1290,23,"379,8005434",,,7.5,5,1,nan,328,34
1150,Movrica,Croatia,17.6.2001.,2001-06-17,"3 f,1 juv",4,Agelenidae,Histopona,bidens,Histopona bidens,147,42.752.604,17.551.145,tb,deep cave,,6,,"11,9","16,45000076","16,45000076","24,5",925,25,"100,5400609",,,4,11,1,nan,82,6
1152,Špilja kod Nerezinog dola,Croatia,2.12.2001.,2001-12-02,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,177,42.758.378,17.436.094,tb,deep cave,,6,,"13,883","16,10370445","16,10370445","23,88333321",874,24,"106,1225494","95,342",,6,2.5,1,nan,35,5.5
1155,Špilja na Gradini kod Premanture,Croatia,13.7.2005.,2005-07-13,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,10,44.786.909,13.907.968,tf,deep cave,,3,,"13,875","14,38249969","14,38249969","24,69999886",753,25,"301,7029411","93,725",,nan,nan,1,nan,nan,nan
1157,Tučepska vilenjača,Croatia,17.6.2002.,2002-06-17,"1 juv,1juv m,1f",3,Agelenidae,Histopona,conveniens,Histopona conveniens,1242,43.286.465,17.083.638,Tf,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
1158,Ostaševica,Croatia,17.6.2001.,2001-06-17,"1f,1 juv",2,Agelenidae,Histopona,bidens,Histopona bidens,302,42.748.959,17.544.404,tb,deep cave,,9,,"11,4","15,79444408","15,79444408","24,11999893",925,25,"101,3842944",100,,6,5,1,nan,70,20
1159,Manita peć,Croatia,12.8.1998.,1998-08-12,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,374,44.314.302,15.475.264,,deep cave,,7,"8,8","9,525","10,42683315","10,42683315","27,29200172",1068,28,"252,2759525",,,nan,nan,1,nan,nan,nan
1160,Močiljska špilja,Croatia,21.6.2001.,2001-06-21,"2f,2m,2 juv",6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,333,42.689.061,18.071.906,tf,deep cave,,6,"15,4","14,7","15,5370369","15,5370369","24,25",1154,26,"95,48772633",,,5,2.5,1,1038,938,138
1161,Tučepska vilenjača,Croatia,17.6.2002.,2002-06-17,"1 m, 2juv",3,Agelenidae,Histopona,conveniens,Histopona conveniens,1242,43.286.465,17.083.638,Tf,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
1162,Tučepska vilenjača,Croatia,23.5.2004.,2004-05-23,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,1242,43.286.465,17.083.638,,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
1164,Pišurka,Croatia,2.6.2000.,2000-06-02,"1f,1 juv m,1 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,17,42.959.451,17.129.228,tf,deep cave,,5,,"13,925","14,0666666","14,0666666","24,28125",833,25,"105,2150766","84,833",,6,1.3,1,86,75,32
1165,Jama za Mahrincem,Croatia,5.1.2009.,2009-01-05,"3f,2m,2 juv",7,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,45,43.344.348,1.674.088,tf,deep cave,,2,,"9,9","15,69453144","15,69453144","25,78749847",804,2,"94,5530675",,,3.5,2.5,1,nan,26,25
1166,Bazgovača,Croatia,4.8.2004.,2004-08-04,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,652,4.330.647,16.622.143,,deep cave,,3,,"7,2","12,8081665","12,8081665","24,57600021",796,24,"108,9858223",,,5,7,1,nan,47,32
1167,Jama za Mahrincem,Croatia,24.10.2007.,2007-10-24,"1f,1m,4 juv",6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,45,43.344.348,1.674.088,tf,deep cave,,2,,"9,9","15,69453144","15,69453144","25,78749847",804,2,"94,5530675",,,3.5,2.5,1,nan,26,25
1168,Balića špilja,Croatia,4.8.2007.,2007-08-04,1 m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,438,4.357.296,1.657.002,tf,deep cave,,11,,"7,2","12,25566673","12,25566673","25,68000031",872,23,"105,1255288",,,70,7,1,194,155,50
1172,Manita peć,Croatia,3.9.1999.,1999-09-03,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,374,44.314.302,15.475.264,,deep cave,,7,"8,8","9,525","10,42683315","10,42683315","27,29200172",1068,28,"252,2759525",,,nan,nan,1,nan,nan,nan
1173,Manita peć,Croatia,7.6.2006.,2006-06-07,1 f,1,Agelenidae,Histopona,egonpretneri,Histopona egonpretneri,374,44.314.302,15.475.264,Tb,deep cave,,7,"8,8","9,525","10,42683315","10,42683315","27,29200172",1068,28,"252,2759525",,,nan,nan,1,nan,nan,nan
1175,Grapčeva špilja,Croatia,4.4.2005.,2005-04-04,1 juv,1,Agelenidae,Hadites,tegenarioides,Hadites tegenarioides,279,43.134.189,16.753.732,TB,deep cave,,5,,"13,225","15,48979187","15,48979187","23,94499969",751,28,"110,2583259",,,nan,nan,1,nan,nan,nan
1176,Grapčeva špilja,Croatia,4.4.2005.,2005-04-04,"1 f,2 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,279,43.134.189,16.753.732,tf,deep cave,,5,,"13,225","15,48979187","15,48979187","23,94499969",751,28,"110,2583259",,,nan,nan,1,nan,nan,nan
1177,Špilja na Gradini kod Premanture,Croatia,13.7.2004.,2004-07-13,"2 f,3 juv",5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,10,44.786.909,13.907.968,tf,deep cave,,3,,"13,875","14,38249969","14,38249969","24,69999886",753,25,"301,7029411","93,725",,nan,nan,1,nan,nan,nan
1178,Špilja na Gradini kod Premanture,Croatia,20.11.2006.,2006-11-20,2f,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,10,44.786.909,13.907.968,tf,deep cave,,3,,"13,875","14,38249969","14,38249969","24,69999886",753,25,"301,7029411","93,725",,nan,nan,1,nan,nan,nan
1180,Špilja u uvali Predpeć,Croatia,6.4.2008.,2008-04-06,"1 f,2 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,45.291.576,14.510.419,tf,deep cave,,4,"10,3","10,625","13,89999962","13,89999962","25,40000153",1376,44,"398,0215329",,,4,3,1,25,21,4
1183,Šipun,Croatia,27.3.2003.,2003-03-27,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1184,Šipun,Croatia,11.2.2005.,2005-02-11,"1 f,2juv",3,Agelenidae,Histopona,dubia,Histopona dubia,,42.583.646,18.217.986,tb,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1189,Šipun,Croatia,11.2.2005.,2005-02-11,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1191,Šipun,Croatia,27.3.2003.,2003-03-27,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1196,Šipun,Croatia,12.2.2005.,2005-02-12,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1198,Šipun,Croatia,19.8.2005.,2005-08-19,"1f, 1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.583.646,18.217.986,tf,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1199,Šipun,Croatia,27.3.2003.,2003-03-27,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1200,Šipun,Croatia,19.8.2005.,2005-08-19,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.583.646,18.217.986,,deep cave,,11,,"15,4","15,02037048","15,02037048","24,28333282",1208,2,"111,3036255","97,8",,1.5,2.5,1,165,150,22.5
1201,Pišurka,Croatia,27.4.2004.,2004-04-27,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,17,42.959.451,17.129.228,,deep cave,,5,,"13,925","14,0666666","14,0666666","24,28125",833,25,"105,2150766","84,833",,6,1.3,1,86,75,32
1203,Đurovića jama,Croatia,27.6.2003.,2003-06-27,"1f,1m,1 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,156,42.559.979,18.263.559,tf,deep cave,,4,,"17,267","15,93194485","15,93194485","24,30000114",1247,6,"111,7390404",,,1,2,1,156,132,17
1204,Đurovića jama,Croatia,27.5.2004.,2004-05-27,"1f, 1juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,156,42.559.979,18.263.559,tf,deep cave,,4,,"17,267","15,93194485","15,93194485","24,30000114",1247,6,"111,7390404",,,1,2,1,156,132,17
1240,Antina špilja,Croatia,17.7.2004.,2004-07-17,"1 f,2 juv",3,Nesticidae,Nesticus,cellulanus,Nesticus cellulanus,570,45.497.475,17.856.553,tf,deep cave,,2,,"13,2","8,909166336","8,909166336","27,79999924",855,23,"285,9960742","96,9",,2,1.5,1,nan,24,1.7
1268,Kukor,Croatia,8.9.2005.,2005-09-08,1 f,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1271,Matijaševa peć,Croatia,4.4.2006.,2006-04-04,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,621,43.320.551,17.122.321,tb,deep cave,,6,"8,3","6,933","9,092166901","9,092166901",25,931,23,"60,61369348",,,3,1,1,18,17,6
1272,Kukor,Croatia,27.7.2004.,2004-07-27,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1273,Špilja u Radinovcima,Croatia,25.10.2006.,2006-10-25,"2f, 2m, 2 juv",6,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,416,43.387.285,170.103,tb,deep cave,,4,,"8,525","12,27216721","12,27216721","26,62000084",912,23,"64,7145817",93,,7,4,1,nan,50,14
1275,Kukor,Croatia,19.6.2002.,2002-06-19,"1f, 2 juv",3,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1276,Kukor,Croatia,29.10.2006.,2006-10-29,1 f,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1277,Crna ledenica,Croatia,24.10.2006.,2006-10-24,1 m,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1557,43.348.162,17.055.328,tb,deep cave,,2,,"0,3","8,441666603","8,441666603","24,99200058",947,26,"63,68523746",,,15,10,1,200,112,72.5
1281,Ledenica kod Stare škole,Croatia,28.6.2002.,2002-06-28,2 juv,2,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1402,43.342.082,17.041.289,tb,deep cave,,1,"1,8",3,"7,902999878","7,902999878","24,58800125",950,23,"65,49733528","95,5",92,nan,nan,1,nan,nan,nan
1285,Mala jama u stijenama,Croatia,20.6.2003.,2003-06-20,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1221,43.365.579,17.027.668,tb,deep cave,,3,"9,3","9,3","7,902999878","7,902999878","24,58800125",950,29,"64,74299334",93,93,nan,nan,1,nan,nan,nan
1286,Kukor,Croatia,6.4.2006.,2006-04-06,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1288,Kuna špilja,Croatia,15.6.2002.,2002-06-15,1 juv m,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1396,43.324.523,17.055.953,tb,deep cave,,2,,"4,5","7,993500233","7,993500233","24,5",945,23,"65,81333493","98,6",,1.7,0.9,1,44,28,3
1289,Kukor,Croatia,6.4.2006.,2006-04-06,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1290,Samogorska špilja,Croatia,4.4.2006.,2006-04-04,1 juv m,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,621,43.318.227,17.121.122,tb,deep cave,,6,"7,1","9,033","9,092166901","9,092166901",25,931,23,"60,95464736",99,,2,3,1,nan,19,3.5
1291,Kuna špilja,Croatia,28.4.2002.,2002-04-28,1 juv m,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1396,43.324.523,17.055.953,tb,deep cave,,2,,"4,5","7,993500233","7,993500233","24,5",945,23,"65,81333493","98,6",,1.7,0.9,1,44,28,3
1293,Pretnerova jama,Croatia,28.10.2006.,2006-10-28,1 f,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1459,43.339.276,17.038.312,tb,deep cave,,2,,"5,44","7,902999878","7,902999878","24,58800125",950,23,"66,01720708","68,3",,2.5,1.5,1,nan,422,254
1294,Crna ledenica,Croatia,25.4.2004.,2004-04-25,"1f, 1 juv m",2,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1557,43.348.162,17.055.328,tb,deep cave,,2,,"0,3","8,441666603","8,441666603","24,99200058",947,26,"63,68523746",,,15,10,1,200,112,72.5
1296,Kukor,Croatia,27.7.2004.,2004-07-27,1 f,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1297,Špilja u Radinovcima,Croatia,25.10.2006.,2006-10-25,"2f, 1m, 7 juv",1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,416,43.387.285,170.103,tb,deep cave,,4,,"8,525","12,27216721","12,27216721","26,62000084",912,23,"64,7145817",93,,7,4,1,nan,50,14
1298,Samogorska špilja,Croatia,4.4.2006.,2006-04-04,1 f,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,621,43.318.227,17.121.122,tb,deep cave,,6,"7,1","9,033","9,092166901","9,092166901",25,931,23,"60,95464736",99,,2,3,1,nan,19,3.5
1299,Špilja u Radinovcima,Croatia,26.10.2006.,2006-10-26,"2f, 2juv",4,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,416,43.387.285,170.103,tb,deep cave,,4,,"8,525","12,27216721","12,27216721","26,62000084",912,23,"64,7145817",93,,7,4,1,nan,50,14
1305,Božinkina jama,Croatia,4.1.2004.,2004-01-04,"1m, 1f",2,Dysderidae,Stalita,taenaria,Stalita taenaria,357,4.540.466,1.430.388,Tb,deep cave,,2,,"10,2","11,41566658","11,41566658","25,84399986",1431,23,"407,4707392",,,0.8,1.5,1,nan,103,114
1306,Jama u Vetvi,Croatia,4.6.2010.,2010-06-04,1m,1,Dysderidae,Dysdera,adriatica,Dysdera adriatica,902,45.332.148,14.240.733,Tx,,,3,,"9,6","8,69833374","8,69833374","24,88399887",1569,23,"394,4373935",,,2,1,1,nan,5,47
1307,Jama u Vetvi,Croatia,4.6.2010.,2010-06-04,1f,1,Linyphiidae,Troglohyphantes,liburnicus,Troglohyphantes liburnicus,902,45.332.148,14.240.733,Tb,deep cave,,3,,"9,6","8,69833374","8,69833374","24,88399887",1569,23,"394,4373935",,,2,1,1,nan,5,47
1309,Jama pod Križ,Croatia,4.6.2010.,2010-06-04,1f,1,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,587,45.374.314,14.113.041,Tb,deep cave,,1,,"8,5","11,26066685","11,26066685","25,83600044",1337,25,"397,0763597",,,1,1.4,1,nan,30,9
1310,Jama pod Križ,Croatia,4.6.2010.,2010-06-04,"1f, 3 juv m",4,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,587,45.374.314,14.113.041,Tb,deep cave,,1,,"8,5","11,26066685","11,26066685","25,83600044",1337,25,"397,0763597",,,1,1.4,1,nan,30,9
1311,Barinova jama,Croatia,18.9.2007.,2007-09-18,3f,3,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,706,45.354.889,14.126.033,Tb,deep cave,,1,,"5,9","9,280166626","9,280166626","25,73200035",1519,23,"394,4600784",,,12,5,1,nan,61,55
1318,Topolska peć,Croatia,14.9.2007.,2007-09-14,1f,1,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,1012,4.530.489,14.212.681,Tb,deep cave,,3,,"6,4","8,69833374","8,69833374","24,88399887",1569,23,"389,4132415",,,nan,nan,1,nan,nan,nan
1336,Topolska peć,Croatia,26.7.2006.,2006-07-26,"1m, 3 juv",4,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,1012,4.530.489,14.212.681,Tb,deep cave,,3,,"6,4","8,69833374","8,69833374","24,88399887",1569,23,"389,4132415",,,nan,nan,1,nan,nan,nan
1337,Topolska peć,Croatia,26.7.2006.,2006-07-26,"1f, 1 juv",2,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,1012,4.530.489,14.212.681,Tb,deep cave,,3,,"6,4","8,69833374","8,69833374","24,88399887",1569,23,"389,4132415",,,nan,nan,1,nan,nan,nan
1349,Vela peć,Croatia,4.6.2010.,2010-06-04,1f,1,Linyphiidae,Troglohyphantes,brignolii,Troglohyphantes brignolii,632,45.333.194,14.158.683,Tb,deep cave,,1,,"6,6","11,98849964","11,98849964","25,54400063",1267,25,"392,0826182",,,nan,nan,1,nan,nan,nan
1396,Špilja kod Stare Sušice,Croatia,12.6.2009.,2009-06-12,1m,1,Anapidae,Comaroma,simoni,Comaroma simoni,723,45.387.689,14.994.379,tf,deep cave,,11,,"7,4","7,502999783","7,502999783","27,42399979",1494,24,"395,0363624","99,65",,2,1,1,nan,414,103
1397,Peć u Čulinovim raljevinama,Croatia,6.1.2009.,2009-01-06,1f,1,Linyphiidae,Troglohyphantes,strandi,Troglohyphantes strandi,369,43.605.854,16.575.066,tb,deep cave,,5,,11,"12,99133301","12,99133301","26,44000053",879,26,"104,4759765",,,1,1,1,nan,42.5,12.5
1400,Jama u Krogu,Croatia,15.9.2007.,2007-09-15,1m,1,Linyphiidae,Labulla,thoracica,Labulla thoracica,1002,45.378.389,1.416.897,,,,2,"2,5","2,45","7,287499905","7,287499905","25,13999939",1707,23,"399,2909922",,,20,15,1,nan,130,93
1401,Kukor,Croatia,28.7.2006.,2006-07-28,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,587,43.355.609,16.991.707,tb,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1402,Matijaševa peć,Croatia,19.11.2005.,2005-11-19,1 juv,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,621,43.320.551,17.122.321,tb,deep cave,,6,"8,3","6,933","9,092166901","9,092166901",25,931,23,"60,61369348",,,3,1,1,18,17,6
1403,Jama iznad Saranača,Croatia,2.4.2006.,2006-04-02,1 juv m,1,Agelenidae,Histopona,sp.,Histopona sp.,777,43.249.007,17.174.663,,deep cave,,7,"10,8","11,112","11,73516655","11,73516655","25,61599922",905,28,"64,87446036",,,2.5,0.5,1,nan,8.6,20.5
1406,Vaganka,Croatia,3.6.2006.,2006-06-03,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,656,4.433.853,1.543.867,,deep cave,,5,,"12,2","7,622666836","7,622666836","26,19600105",1265,29,"257,5927467",95,,,,,,,
1408,Jama pod istočnom stijenom Buljme,Croatia,13.9.2006.,2006-09-13,1 f,1,Agelenidae,Histopona,egonpretneri,Histopona egonpretneri,1445,44.368.375,15.467.868,Tb,deep cave,,3,,"4,8","7,383500099","7,383500099","25,82799911",1297,23,"256,7963643",,,,,,,,
1432,Kukor,Croatia,2.1.1999.,1999-01-02,1 f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,587,43.355.609,16.991.707,Tf,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1434,Pozjata špilja,Croatia,26.10.2003.,2003-10-26,1m,1,Agelenidae,Histopona,conveniens,Histopona conveniens,1394,43.387.837,16.963.748,Tf,deep cave,,3,,"7,85","10,82800007","10,82800007","25,23999977",919,28,"69,25839521",99,,,,,,,
1435,Jujnovića špilja,Croatia,27.4.2002.,2002-04-27,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,463,43.266.579,1.719.798,Tf,deep cave,,6,"13,8","10,85","12,35200024","12,35200024","26,52000046",917,29,"61,15708825",,,5,2.5,1,108,40,16
1437,Jama za Supinom,Croatia,18.11.2005.,2005-11-18,1 f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,905,43.250.417,17.113.278,Tf,deep cave,,7,,"10,75","9,67800045","9,67800045","24,96000099",926,26,"69,05858686","87,25",,2.5,2.5,1,372,264,82
1438,Jama za Supinom,Croatia,18.11.2005.,2005-11-18,"2m,1 juv",3,Agelenidae,Histopona,conveniens,Histopona conveniens,905,43.250.417,17.113.278,Tf,deep cave,,7,,"10,75","9,67800045","9,67800045","24,96000099",926,26,"69,05858686","87,25",,2.5,2.5,1,372,264,82
1440,Bošak jama,Croatia,4.4.2006.,2006-04-04,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,721,43.347.996,17.100.045,,deep cave,,2,,"7,4","11,25733376","11,25733376","26,1079998",928,23,"59,73571895",100,,1.1,1.7,1,nan,11,17
1441,Jama iznad Saranača,Croatia,25.3.2003.,2003-03-25,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,777,43.249.007,17.174.663,Tf,deep cave,,7,"10,8","11,112","11,73516655","11,73516655","25,61599922",905,28,"64,87446036",,,2.5,0.5,1,nan,8.6,20.5
1442,Kukor,Croatia,6.4.2006.,2006-04-06,1m,1,Agelenidae,Histopona,conveniens,Histopona conveniens,587,43.355.609,16.991.707,Tf,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1443,Kukor,Croatia,23.9.1999.,1999-09-23,"1f,1 juv m",2,Agelenidae,Histopona,conveniens,Histopona conveniens,587,43.355.609,16.991.707,Tf,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
1444,Špilja u Radinovcima,Croatia,25.10.2006.,2006-10-25,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,416,43.387.285,170.103,Tf,deep cave,,4,,"8,525","12,27216721","12,27216721","26,62000084",912,23,"64,7145817",93,,7,4,1,nan,50,14
1445,Spila 1,Croatia,26.3.2003.,2003-03-26,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,349,43.262.438,17.203.945,Tf,deep cave,,3,"10,4","10,4","12,35200024","12,35200024","26,52000046",917,21,"61,24985608",100,100,3,1.8,1,30,27,10.5
1447,Špilja u Radinovcima,Croatia,25.10.2006.,2006-10-25,1m,1,Agelenidae,Histopona,conveniens,Histopona conveniens,416,43.387.285,170.103,Tf,deep cave,,4,,"8,525","12,27216721","12,27216721","26,62000084",912,23,"64,7145817",93,,7,4,1,nan,50,14
1448,Jama za Supinom,Croatia,3.4.2006.,2006-04-03,1m,1,Agelenidae,Histopona,conveniens,Histopona conveniens,905,43.250.417,17.113.278,Tf,deep cave,,7,,"10,75","9,67800045","9,67800045","24,96000099",926,26,"69,05858686","87,25",,2.5,2.5,1,372,264,82
1449,Jama na Brezdanu,Croatia,20.3.2004.,2004-03-20,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,914,43.369.901,16.973.172,Tf,deep cave,,3,"8,5","8,5","12,63749981","12,63749981","25,40833473",906,32,"69,62048453",,,nan,nan,1,nan,nan,nan
1450,Matijaševa peć,Croatia,4.4.2006.,2006-04-04,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,621,43.320.551,17.122.321,,deep cave,,6,"8,3","6,933","9,092166901","9,092166901",25,931,23,"60,61369348",,,3,1,1,18,17,6
1451,Oplemenjena špilja,Croatia,20.6.2003.,2003-06-20,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,998,43.369.119,17.025.884,,deep cave,,1,7,7,"7,902999878","7,902999878","24,58800125",950,25,"64,62358923",,,,,,,,
1452,Kukor,Croatia,19.6.2002.,2002-06-19,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,587,43.355.609,16.991.707,,deep cave,,10,,"15,4","12,63749981","12,63749981","25,40833473",906,29,"68,94753675",,,1,1,1,264,213,40
