sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
4922,Gradska spila,Croatia,15.5.2016.,2016-05-15,"1m, 2f?, 8 juv",11,Leptonetidae,Sulcia,sp.,Sulcia sp.,621,43.318.029,17.117.623,,,,4,,"6,6","9,092166901","9,092166901",25,931,23,"61,25913011","93,333",,5,2.5,1,nan,26.5,1.8
4923,Tučepska vilenjača,Croatia,1.9.1998.,1998-09-01,"1m, 1f, 1juvm, 2juvf",5,Linyphiidae,Typhlonyphia,sp. 1,Typhlonyphia sp. 1,1242,43.286.465,17.083.638,Tb,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
4931,Medina pećina,Croatia,16.5.2014.,2014-05-16,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,628,4.463.744,15.364.535,Tb,deep cave,,1,,"8,2","8,664500237","8,664500237","29,65600014",1241,23,"288,179941",,,1.5,2,1,nan,9.2,2.4
4934,Jopićeva špilja,Croatia,20.11.2015.,2015-11-20,1f,1,Linyphiidae,Troglohyphantes,kordunlikanus,Troglohyphantes kordunlikanus,184,45.301.113,15.592.877,tf,deep cave,,5,,"9,2","10,85416698","10,85416698","29,48399925",1123,23,"339,7663612",,,10,5,2,nan,6710,57
4940,Jopićeva špilja,Croatia,27.2.2000.,2000-02-27,2f,2,Linyphiidae,Centromerus,cavernarum,Centromerus cavernarum,184,45.301.113,15.592.877,Tf,deep cave,,5,,"9,2","10,85416698","10,85416698","29,48399925",1123,23,"339,7663612",,,10,5,2,nan,6710,57
4941,Biserujka,Croatia,9.7.2007.,2007-07-09,1m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,27,45.187.464,1.460.981,tf,deep cave,,1,,"14,8","14,12559509","14,12559509","25,39523888",1232,32,"386,9540194",,,nan,nan,1,nan,nan,nan
4952,Kukuruzovićeva špilja,Croatia,10.1.2010.,2010-01-10,2f,2,Linyphiidae,Troglohyphantes,excavatus,Troglohyphantes excavatus,329,44.914.821,15.702.486,tf,deep cave,,3,,"10,8","9,661832809","9,661832809","28,4640007",1309,18,"286,5022004",,,5,2.5,1,nan,486,45
4954,Ponor Sušik,Croatia,9.6.2007.,2007-06-09,"1f, 1juvm, 1juv",3,Linyphiidae,Porrhomma,sp. 1,Porrhomma sp. 1,224,45.145.514,15.538.934,,,,4,,"9,6","10,33966637","10,33966637","29,04400063",1248,21,"325,2942174",,,,,,,,
4964,Jopićeva špilja,Croatia,9.4.2012.,2012-04-09,"1m, 2juvm, 1juv",4,Linyphiidae,Troglohyphantes,kordunlikanus,Troglohyphantes kordunlikanus,184,45.301.113,15.592.877,tf,deep cave,,5,,"9,2","10,85416698","10,85416698","29,48399925",1123,23,"339,7663612",,,10,5,2,nan,6710,57
4973,Jopićeva špilja,Croatia,12.11.2015.,2015-11-12,1f,1,Linyphiidae,Centromerus,cavernarum,Centromerus cavernarum,184,45.301.113,15.592.877,Tf,deep cave,,5,,"9,2","10,85416698","10,85416698","29,48399925",1123,23,"339,7663612",,,10,5,2,nan,6710,57
4974,Jopićeva špilja,Croatia,12.11.2015.,2015-11-12,1f,1,Linyphiidae,Gen.,sp. X,Gen. sp. X,184,45.301.113,15.592.877,,,,5,,"9,2","10,85416698","10,85416698","29,48399925",1123,23,"339,7663612",,,10,5,2,nan,6710,57
4977,Maklutača,Croatia,5.11.2016.,2016-11-05,"5f, 1m, 2juv",8,Linyphiidae,Troglohyphantes,strandi,Troglohyphantes strandi,415,43.569.268,16.620.515,tb,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4978,Maklutača,Croatia,5.11.2016.,2016-11-05,1m,1,Pholcidae,Stygopholcus,absoloni,Stygopholcus absoloni,415,43.569.268,16.620.515,,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4979,Maklutača,Croatia,5.11.2016.,2016-11-05,1f,1,Tetragnathidae,Metellina,merianae,Metellina merianae,415,43.569.268,16.620.515,Tf,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4980,Maklutača,Croatia,5.11.2016.,2016-11-05,1f,1,Linyphiidae,Troglohyphantes,giromettai,Troglohyphantes giromettai,415,43.569.268,16.620.515,tf,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4981,Maklutača,Croatia,5.11.2016.,2016-11-05,"1m, 1f",2,Linyphiidae,Troglohyphantes,strandi,Troglohyphantes strandi,415,43.569.268,16.620.515,tb,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4984,Gospodska špilja,Croatia,8.8.2012.,2012-08-08,"2f, 1juvm",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,414,43.982.279,16.432.905,tf,deep cave,,1,,"10,45","11,62766647","11,62766647","28,06799889",971,26,"133,8798791",96,,1,1,1,3111,2493,55
4987,Gospodska špilja,Croatia,7.8.2010.,2010-08-07,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,414,43.982.279,16.432.905,tf,deep cave,,1,,"10,45","11,62766647","11,62766647","28,06799889",971,26,"133,8798791",96,,1,1,1,3111,2493,55
4991,Jujnovića špilja,Croatia,14.5.2016.,2016-05-14,2juv,2,Pholcidae,Pholcus,sp.,Pholcus sp.,463,43.266.579,1.719.798,,,,6,"13,8","10,85","12,35200024","12,35200024","26,52000046",917,29,"61,15708825",,,5,2.5,1,108,40,16
4992,Jujnovića špilja,Croatia,14.5.2016.,2016-05-14,1juv,1,Pholcidae,Pholcus,sp.,Pholcus sp.,463,43.266.579,1.719.798,,,,6,"13,8","10,85","12,35200024","12,35200024","26,52000046",917,29,"61,15708825",,,5,2.5,1,108,40,16
4993,Maklutača,Croatia,4.1.2016.,2016-01-04,7f,7,Linyphiidae,Troglohyphantes,giromettai,Troglohyphantes giromettai,415,43.569.268,16.620.515,tf,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4994,Maklutača,Croatia,4.1.2016.,2016-01-04,2f,2,Linyphiidae,Troglohyphantes,strandi,Troglohyphantes strandi,415,43.569.268,16.620.515,tb,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4996,Maklutača,Croatia,4.1.2016.,2016-01-04,2f,2,Linyphiidae,Palliduphantes,spelaeorum,Palliduphantes spelaeorum,415,43.569.268,16.620.515,Tf,deep cave,,6,,"6,25","11,86699963","11,86699963","25,86800003",883,29,"99,53597793",,,11,6.5,1,152,140,39
4998,Bezdan,Croatia,30.10.2016.,2016-10-30,1 juv,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
4999,Bezdan,Croatia,30.10.2016.,2016-10-30,1f,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
