locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Jama na Trovrškim livadama,"0,7","1,6",1,"15,8",11,"11,4"
Malina,6,4,1,9,8,3
Pećina na Kalini,4,5,1,33,30,11
Panjkov ponor-Varićakova špilja,,,1,,,
Mana  I,"1,5",6,1,22,18,"4,5"
Zorkina jama,1,1,1,30,30,5
Špilja ispod Krsta,"0,6",1,1,,47,"21,5"
Miijko,4,4,1,57,43,"25,5"
Andabačka jama,1,"0,5",1,27,18,12
Jama na Vrščiću,3,"2,5",1,330,143,159
Japagina 5,10,10,1,,29,"37,8"
Amer 1,"2,5","0,8",1,12,3,12
Tečajska prvomajska,"0,5","0,5",1,24,"8,5",18
Vilinska jama,9,10,1,53,45,15
Kaverna Congeria,"1,1","0,5",1,156,147,4
Punoglavac,"2,5","1,5",1,18,12,11
Mala Pupićina,"1,2","0,8",1,,16,0
Jama pod Jarebinjakom,8,3,1,,16,8
Brezdna jama,8,"1,3",1,17,17,2
Jasenova glavica,"2,5","1,5",1,"16,7",8,"13,7"
Jama Grbe,,,1,22,8,"19,5"
Vodovod i kanalizacija d.o.o.,3,1,1,67,57,19
Jama pod Velim vrhom,"0,5",1,1,,13,31
Jama-ponor na Suvopolju,6,4,1,22,3,7
G30,3,6,1,,11,"4,5"
Jama u Velim Sapcima 2 ,"0,8","0,6",1,,"3,5","7,5"
Ponor kod Špiljske šterne,2,5,1,,11,4
Nenategnuta,"1,7","1,7",1,9,6,7
Dvocijevka,2,11,1,71,10,45
Sniježnica kraj Oaze,20,17,1,84,57,47
Laniška jama ,4,4,1,,10,"9,6"
Pećina na Sklopači,2,2,1,53,48,14
Josipova jama,,,1,,,
Pukotina kod Doca,,,1,,,
Grgeča pećina,16,12,1,121,"112,5",3
Pećina ispod starog grada Bužima,"1,5","1,5",1,,20,"9,5"
Klementina 6,17,4,1,,35,111
Predsjednički dvori,"3,5",5,1,66,15,49
Mala Rokinka,"10,2","3,5",1,"87,5",83,12
Đokina jama 2,1,"0,5",1,,15,12
Svečićeva jama,"0,5",1,1,10,5,9
Čelinja jama,1,1,1,9,7,"4,5"
Knedlica,"1,5","0,5",1,18,6,12
Oštirova jama,6,5,1,,114,43
Jama ispod ceste 1,6,1,1,,11,10
Modrušanska jama,"0,4","0,6",1,72,55,28
Tor špilja,8,"2,5",1,10,10,0
Mama look a Boo-boo,5,6,1,,13,"36,6"
Drvored,"2,5","1,5",1,"33,7","12,5",30
Juretova jama,3,"0,7",1,20,13,12
Prođeš bez beda,6,3,1,32,17,"17,7"
Kamenica 4,"2,5",3,1,,13,0
Jama Crekvica,3,"1,1",1,,15,13
Jama pod Viševicom,8,5,1,71,15,54
Đurovića jama,1,2,1,156,132,17
Pećinica 2,"4,5","0,8",1,"6,7","6,6",0
Kenjac,8,6,1,68,29,54
Šumska jagoda,4,4,1,"57,5","20,4","50,7"
Jama jednog Samozlonca,"1,5",1,1,,5,9
Jama nad Globokim dolcima,"4,5",4,1,,10,11
Marčina jama,27,10,1,205,70,100
Jama kod suhog bora 1,3,2,1,13,9,10
Golubinka kod Pupavaca,3,3,1,30,21,16
Špilja Purnica,"1,65","1,55",1,"8,8","8,5","0,3"
Čudna špilja,"3,5",3,1,6,5,3
Spilja iznad izvora 1,1,1,1,11,11,3
Špilja na Baraćevoj brini,"0,8","0,5",1,,"16,6","2,1"
Golubija spila,20,16,1,65,65,0
Tepih centar,"1,5","1,2",1,"8,5","5,5","5,5"
Špilja u Debeloj glavi,10,"3,8",1,,"14,5",6
Paracepinka,"4,8","2,8",1,"6,6",6,2
Jama u Pusovoj dragi,"3,3","2,6",1,23,52,36
Lučica,3,"2,5",1,,16,3
Medena jama,12,8,1,,"37,5","19,5"
Badanj 2,"1,5","0,5",1,14,10,9
Strelica špilja,"0,8","1,2",1,,13,"1,1"
Mekotica na Steni,"0,7","0,4",1,17,9,13
Vrelce mala,1,1,1,,52,1
Ivina bezdan,1,1,1,"11,2",2,"10,4"
Jama na Jančariji 2,1,"0,5",1,,13,10
Vodonoša,3,2,1,92,40,67
Kravlja jama,,,1,,,
Garmica,4,2,1,20,,"1,5"
PP2,6,7,1,"19,6","6,25","15,7"
Špilja na rtu Veliki Tradanj 1,2,3,1,,29,0
Hladna jama,6,5,1,42,16,"36,5"
Izvor Zagorske Mrežnice,,,1,,,
Špilja iznad kamenoloma Belaj,9,2,1,20,19,"1,5"
