locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Pod korenovom krošnjom,2,2,1,57,26,31
Jama iznad Delaškog gaja,3,2,1,23,18,11
Bonagracija 1,3,2,1,,42,8
Kevinova jama,3,"1,5",1,"13,6","9,5","10,1"
Pećnićka peć,19,10,1,,36,12
Ilijin bunker,1,"0,7",1,"80,8",65,14
Golubinka u gaju,"4,6",10,1,29,"28,8","5,7"
Duty free,"1,5",1,1,5,5,5
G6,40,25,1,,114,212
Butina špilja,"1,2","1,2",1,12,12,0
Božinkina jama,"0,8","1,5",1,,103,114
Kornjačina,"0,5","0,4",1,17,16,7
Meglena jama,8,10,1,,58,118
EFEM,"0,5","0,6",1,,3,6
Špilja uz cestu,"3,5",5,1,"14,9","13,8","3,5"
A-4,2,2,1,14,6,10
Zanka,"0,5","0,7",1,34,10,30
Podstreh,4,2,1,20,5,15
Dajićeva pećina,"11,5","6,5",2,105,83,39
Libinje 2,3,4,1,50,22,40
Staje 12,"1,5",7,1,,15,"18,4"
Goranka,1,"1,5",1,56,"47,5","12,5"
Lucinka,30,30,1,181,158,0
Kod vode 4,2,"0,5",1,24,6,21
Kikačova špilja,4,1,1,"5,3","4,1","3,4"
Jama za Rasohama,5,10,1,,24,29
Špilja Sv. Romualda,5,4,1,136,119,2
Vela jama,4,6,1,41,39,0
Tektospara,5,7,1,"28,9","5,2","27,3"
Trooka,5,2,1,14,14,0
Luška špilja,2,2,1,"756,9","676,5","51,5"
Golubinka kod Rošca,12,5,1,"54,4","32,7","32,8"
Jama kod Kresa,1,1,1,66,37,27
Dvojvchodova,5,10,1,247,154,78
Mini golf - Strguljin grad 10,1,2,1,,6,"1,5"
Špilja iznad Gluhih draga,"0,8",1,1,19,"18,2","2,7"
JMB2,2,"0,5",1,17,6,9
Ponor Vinela,3,5,1,,"106,2","68,6"
Velika peć,8,15,1,,69,12
Jama u Bukvi,10,3,1,27,16,21
Potkameničina jama,"0,8","0,5",1,,4,"17,3"
Kukova peć,1,"1,2",1,,"81,5",22
Didijeva jama,"1,5",5,1,120,"24,8",77
Očekivali smo više,2,6,1,27,15,"19,5"
Jamica kraj Nikolićeve,"0,5","1,5",1,"6,6","5,3","5,4"
Špilja na Marišćini,"2,5","1,5",1,9,9,2
Jama u Žlibi,5,3,1,,30,"6,5"
Mala jama na Maglaju,"1,2","0,8",1,20,13,15
Vešča Ravan,1,2,1,51,29,27
Prehnana,4,"2,5",1,"19,4","5,3","17,9"
Viroza,7,3,1,13,3,12
Jama iznad Mandelaje,"0,5","0,5",1,,38,29
Golubnjača Čojluk,2,"1,5",1,44,15,38
Mala Gajna,"0,9","0,5",1,"43,4","10,3",37
Deriočica,7,4,1,75,39,55
Jama na Ikavskom grebenu,"0,5",1,1,,27,19
Čudotvorno ozdravljenje,2,5,1,34,14,28
Rudine,3,"1,5",1,158,56,99
"SG 2,25","0,5","0,5",1,,"6,5",8
Strmotića ponor,3,5,1,,1437,60
Jama operacija ramena,"2,3","2,4",1,5,16,15
Špilja pod Runjavom glavicom,2,1,1,6,5,3
Bićino odmaralište,12,7,1,37,35,0
Pećina na Širokom 2,4,4,1,49,44,18
Zakičnica VII,"0,5","0,5",1,44,14,28
Jama na Vodenom Opuhu,"0,4","0,4",1,8,"4,5",8
Jama u Bristvi,1,"1,5",1,15,11,"4,5"
Goveđa pećina na Prtljagu,,,1,,,
Vir kod kapelice Sv. Mihovila,,,1,,,
Vranovinski ponor,2,"0,8",1,,450,5
Ništ,2,1,1,11,6,10
G7,"2,5",5,1,,12,"14,7"
Jama na Bukovači,"1,5","1,5",1,,15,"61,5"
Špilja kod Gornjih Krnića,4,3,1,,22,8
Tovareva jama,5,3,1,,33,72
Jama kod platoa 1,9,10,1,63,48,24
Pećina u Brini treća,"2,5","1,2",1,9,8,1
Ježeva kućica,2,"0,9",1,21,12,"5,5"
Špilja Lysvulpen,4,2,1,"23,5","20,9","4,2"
Zlatna jama,1,1,1,,4,9
Izvor Kamačnik,,,1,,,
Ančića velika Golubinka,6,5,1,53,18,46
Duet,5,5,1,25,10,20
To nije ništa,4,"12,5",1,"48,9","31,4","24,4"
Strguljin grad 12,"0,6","0,6",1,,5,8
Jama u Bovanu,4,3,1,,37,32
Stračinčica,3,2,1,92,13,88
Pupnatska golubinka ,5,"3,5",1,39,10,35
Ledenica kod Bednjice,1,1,1,,12,0
Janjeva,10,"1,2",1,,24,9
Lozovača,4,2,1,10,10,5
Ne pada mi na pamet,3,3,1,102,"52,5",82
Lisičarka,1,"2,5",1,,6,0
Pakina špilja,"0,5","0,5",1,7,7,1
Jama kod Bodaja,6,2,1,,7,8
Ma odma,"1,5",6,1,"11,4","6,6","7,6"
Izvor Bistrac,,,1,,,
LV2 špilja,2,1,1,"27,7","25,7","5,5"
Keljina jama,"0,8","1,2",1,"32,1","16,5","18,6"
Klanjčeva peć,9,4,1,,48,5
Golubinka Ljubostinje,4,2,1,19,8,16
Ponor Škrljevo,"8,5","3,5",1,198,185,20
Črna luknja,1,"0,8",1,"7,1","6,7",0
Valentina,,,1,,47,53
Krasnica,5,5,1,57,15,57
Ruža,4,"1,5",1,"19,4",4,"18,2"
Bosnić ponor,"1,6","0,5",1,"11,6","9,8","3,9"
Pećina iznad Vele vale,4,3,1,,24,15
Pliškovićeva jama,"2,7",5,1,,25,80
Bjelovrška spilja,"3,2","7,5",1,"19,3",21,"4,8"
Brižnica,"1,5",,1,,"9,5",15
Normalnofobija,5,8,1,,30,19
Japagina 6,4,"1,5",1,,84,39
Vodena jama na Srimi,"2,5","2,5",1,74,64,"16,5"
Jama Ledine,"1,8",6,1,20,12,14
Tri kule,4,3,1,40,33,16
Šparožna pećina,1,"1,8",1,,607,112
Jama južno od Rašporske jame,3,7,1,,19,11
Jama Bombardelli,1,"0,5",1,33,12,25
Jama Bajnica,5,14,1,30,18,20
Krčma u planini,"0,7","0,9",1,"10,5",3,"6,5"
Grmče,2,1,1,27,10,25
Kukuruzovićeva špilja,5,"2,5",1,,486,45
Šumsko voće,2,1,1,52,33,28
Šlager jama,13,5,1,35,12,13
Jama 3,,,1,,,
Kusa,8,7,1,,859,55
Lager jama,5,2,1,101,37,80
Vražja peć,2,1,1,16,14,3
Špilja istočno od zaselka Svaguše,,,1,,,
Kovačeva bezdanica ,2,2,1,,44,28
Vražje babe jama,2,4,1,,22,11
Srndać,"1,5",2,1,17,14,"5,5"
Jama golih smreka,3,16,1,22,22,"11,7"
Jama ponad Golubinke,"2,5",1,1,5,1,5
Mala Venezuela,15,10,1,98,20,98
Špilja u Rebićima,5,3,1,,37,"4,5"
Uskić,"0,5","0,5",1,"7,9","5,7","4,7"
Jama iznad velike pećine,"1,2","2,6",1,"29,1","12,4",13
Jama Ema,3,4,1,36,"17,4",22
Špilja u Laslavićima,"2,2","3,5",1,,"46,3","1,5"
Gelender,"0,8","1,5",1,"25,3","11,5","20,5"
Sivčeva jama,"1,5","3,5",1,41,11,"36,5"
Jama uz stazu na Sv. Nikoli,11,4,1,,32,"7,6"
Poskočica,4,10,1,,5,"13,8"
Špilja u kanjonu Jadove,"1,5",2,1,,"32,5",0
Jama pod Debelim vrhom 3,"2,5","0,5",1,,8,12
Kusica,,,1,,,
Zmajeva peć,1,1,1,69,54,15
Školska jama,"1,5","1,5",1,,7,30
Partizanka,"1,8","2,2",1,8,6,"1,5"
Jama u Rasini,7,11,1,30,30,35
Jama za početnike,"0,35","0,44",1,"15,9","11,5","8,3"
"Kaverna kod konobe """"Ive""""",1,4,1,,7,5
Pretnerova jama,"2,5","1,5",1,,422,254
Marmelada,4,2,1,"58,6",9,52
Vranik,1,"0,7",1,115,100,24
Bimiyo,"3,2",2,1,"7,5",3,"6,5"
Gvozdenica,24,14,1,,250,85
Jama u Dubokom dolcu      ,1,"3,2",1,16,16,15
Jama pod Velikim vrškom,4,7,1,,"28,2","18,8"
Medina pećina,"1,5",2,1,,"9,2","2,4"
Voragine di Sterna Filaria,175,254,1,344,254,91
Mala Zečica,"1,5",1,1,29,20,13
Črjenčeva pećina,5,2,1,162,153,23
Konac,2,"1,5",1,"29,2","10,7",26
Izvor pećina Kašteljir,8,2,1,23,20,0
Jama u Špejarovim lugovima 2,2,2,1,6,0,6
Sutinščica,"1,5","0,5",1,254,229,"5,5"
Šarića pećine III,"3,8","0,8",1,9,6,1
Kiša korjenja,1,1,1,19,14,9
Jama na Studenjaku,2,1,1,7,2,6
Ober,5,2,1,37,"13,5",32
Dvojama Luna,8,4,1,,16,18
A-5,22,12,1,90,73,24
Ostrvička špilja,,,1,,,
Pasja jama na Humu,2,1,1,9,2,7
Pećina u porovim Kozarama,2,"0,8",1,,11,4
Mrtvalna,"0,9","0,7",1,12,11,3
Grgosova špilja,,,1,,,
Strunina jama,4,1,1,10,6,8
Spilja na Rulevki,"0,5","0,3",1,11,7,4
Golubinka na Golubinskom umcu,10,5,1,43,20,36
Bara,,,1,6,6,2
Dremaljka,4,16,1,,25,11
Jama pored Lapine,2,"0,7",1,36,29,8
Jama pod stražom,1,1,1,"32,5","7,5",25
Dvije bajunete,"4,5",6,1,"43,5","40,1","12,5"
Lugarevo srce,5,2,1,,"19,8","1,5"
Jama na Medovini,"0,5","0,7",1,105,42,87
Banova jaruga,8,26,1,42,32,"14,3"
Ključanica,4,3,1,"10,4",10,0
Kaverna Škurinje 5,1,1,1,8,"4,1",6
Špilja na gradini Zaskok,"1,3","0,7",1,,18,6
Gaucho Knež,"1,5","1,3",1,,"54,5",32
MAK jama,1,"1,8",1,20,10,"9,5"
Šeraja,3,5,1,250,50,188
Mali Kopanjščak,"0,8",1,1,11,6,10
Špilja u Lukačevom brigu,"6,5","3,5",1,62,57,14
Znetva na Zminjaku,1,"0,8",1,,2,9
Jama Makljen 3,6,3,1,,22,42
Jama uz staru cestu,"0,5","0,7",1,182,155,29
Kora Nero,"0,9","1,3",1,,7,9
Jama na Čelišniku,"0,3",1,1,"27,5",10,"22,5"
Izvor Grabovac,3,"3,5",1,18,12,5
Pećina Debela sten 4,"0,7","0,8",1,,"6,5","0,3"
Maksimova špilja,1,5,1,,"18,2",0
Sustav jazavaca,"1,4","0,8",2,"6,2",6,"1,3"
M2,25,30,1,247,92,188
Spiderman,6,1,1,26,13,17
Troganina jama velika,"2,5","1,5",1,25,22,8
Jama Pavleč,8,4,1,,26,33
Vilina pećina,"2,5","3,2",1,11,6,0
Jerova špilja,1,"1,5",1,102,"93,6","11,3"
Gljiva,3,1,1,18,6,12
Golubinka na Stancijeti,5,5,1,107,60,62
Golubinka kod Bjeline,10,5,1,,195,67
Jama u Kapetanskom dolu,30,5,1,,40,57
Moruzgvača u uvali Južni Vavošćak,"1,5",2,1,"11,7","11,5",0
Grunfova jama,"1,5",1,1,11,11,8
Jama uz cestu,,,1,,,
Ledeni brlog,4,2,1,,12,9
Kandija,,,1,,,
Velika jama,13,18,1,101,81,"22,5"
Zabranjen promet u jednom smjeru,"0,7","1,5",1,"8,2","2,7","6,7"
Strmoglavica,,,1,82,85,30
Jametina pod stijenom,1,1,1,15,10,5
Proljetna jama,"0,3","0,3",1,,8,25
Jama u Kovanicama,2,"1,4",1,,15,10
Mini golf - Strguljin grad 6,5,3,1,,"5,5",15
Albino,"0,8","0,8",1,7,7,2
Šest šest šest,"0,5","0,3",1,24,6,22
Jama u Tijesnom kod Vrata 3,10,5,1,"60,2",34,34
Mišolovka,12,15,1,,"24,5","15,6"
Jazinka,2,1,1,42,42,4
Jama iznad Lipog dočića,"1,5",7,1,145,"50,5",92
Digova jama,2,3,1,83,66,36
G36,"1,5",5,1,,5,"18,5"
Jamina Slavica,2,1,1,,36,18
Špilja u uvali Pećina,"5,6","4,4",1,"17,3","13,7","4,8"
Živkovača,"9,5","1,9",1,26,"9,5","12,5"
Špilja podno gradine Zaskok,"1,2","1,5",1,,11,0
Špilja Josipa Tome Čorka,5,"2,5",1,,89,39
Davìd,3,5,1,25,15,16
Čavkina jama,8,3,1,258,104,169
Trocjevka,3,"4,5",1,267,139,"143,5"
Andromeda,9,10,1,22,14,11
"Jama ""Pazi ponor""",,,1,12,12,76
Jelova špilja,"3,5",5,1,"55,3",51,12
Jama na cesti,"0,5","0,5",1,"47,1",17,"37,7"
Jama s mostom,18,14,1,,22,34
Tu smo već tražili,"2,7",2,1,8,6,3
Snješko 34,"3,7","3,4",1,"5,3",5,"1,9"
Špilja na Malom kuku,2,"2,2",1,14,14,0
Mramor,6,2,1,39,35,13
Ponor Bratstva i Jedinstva,8,5,1,,24,8
Špilja na Obajdinovoj glavi,"2,5",3,1,,"7,2","6,1"
Jama Cakinji,25,"7,5",1,,35,25
Jama na Balaguštini,5,4,1,,17,19
Prozornica,5,5,1,,"7,5",34
Šarića pećine IV,3,2,1,16,13,6
Golubinka kod Putnika,"7,5",8,1,49,23,39
Malipolje,4,2,1,13,"10,7","7,5"
Križnjak,"1,5",1,1,"23,6","10,6",0
Šterna,3,2,1,"67,5","22,2",47
Jama Tisućica,2,3,1,5,9,6
Jama iznad  Velih Sapca  ,2,1,1,,"2,5",9
Činjadra ,4,1,1,,83,0
Rešetke,3,2,1,31,"13,1","24,3"
Ponor Vinicio Potleca,"1,6","3,86",1,1112,964,144
Jama kod nule,"2,5","6,5",1,152,55,119
Bebičica,"1,8","3,5",1,8,4,"5,5"
Mar,"2,5","1,5",1,27,7,23
Jama pod Ćikinim brdom ,2,"3,5",1,15,9,11
"Vilenjača Vepric ""Mirka""",1,2,1,28,10,22
Zavrti ,10,6,1,,"32,5",0
Golubinka,"0,5","0,5",1,,110,115
Jama kod Plošnog Guvna,,,1,,,
Vražja jama,"0,5","0,5",1,,4,11
Pećina u Brezovcu,1,2,1,"7,5","7,5","1,2"
Jama pod Grabar,"2,5",1,1,,16,19
Jama Zelena Čarobnica,5,7,1,,37,116
Sumrak,5,5,1,49,20,20
Sve u 16,"6,2","2,4",1,23,13,16
Medvjedina špilja,9,2,1,,17,0
Stol,"2,5",2,1,110,,65
Kaverna 180_Tunel Konavosko polje- more,"0,5","0,7",1,76,52,18
Pozzo Kršin,"1,3","1,5",2,52,26,34
Iznenadna jama neupitne fascinacije,2,1,1,17,3,16
Morska špilja na rtu Mede,"7,6",2,1,14,13,0
Jama od Bašćine kod Razine,"0,5","0,5",1,38,10,31
Malfi,"0,5",3,1,11,"29,5","21,5"
Volovska jama,"6,5","6,1",1,"57,2","19,7","47,1"
Jama nad Zasten,14,4,1,,15,80
Vilina kamara 2,1,3,1,19,16,3
Jama pod Ćikinim brdom II ,7,7,1,25,16,15
Optimalna špilja,"1,6","0,8",1,8,8,2
Ucviljena ljepotica,5,"11,5",1,123,77,"52,5"
Jama kod Goška (br.91),1,1,1,25,14,11
Ledenac,8,4,1,32,17,15
Vilinska pećina,"3,5","3,5",1,,21,0
Abrakačabra,"0,5","0,5",1,154,118,43
Amfora,8,6,1,,468,778
Jametina,,,1,,,
Pećina u kanjonu Mrežnice 1,12,10,1,,55,12
Izvor-špilja kod kapelice Sv. Mihovila,,,1,,,
Trojamica,3,"3,5",1,61,23,50
Prolazna špilja,10,9,1,,19,10
Polako Desanto,"8,7","4,9",1,29,8,26
Slatki grijeh,2,2,1,31,22,14
Ruškina pećina,6,8,1,54,49,5
Jama u Šištri,2,"3,5",1,,"2,5",18
Jama pod Vodice 4 ,5,8,1,23,11,20
Špilja kraj potoka Zala,"0,5","0,5",1,,"27,5","6,5"
Jama na Kosi,"0,5","0,5",1,12,7,8
Kamenica 2,2,12,1,,13,0
Kondorova jama,4,3,1,,30,28
Fau 2 - V2,1,2,1,,14,31
Jama u Kladama,3,4,1,,4,13
Jama na Badiji,"1,5","0,6",1,,"5,5","11,5"
Ljulja,10,6,1,"78,4","19,6","71,5"
Jama bez vatre,2,5,1,,"14,5",30
Dvostruka nevolja,6,14,1,"27,7","13,1","16,4"
Strguljin grad 4.25,1,"1,5",1,,1,11
Debeli krug II,"1,5","2,2",1,8,8,0
Lijina kuća,"0,4",1,1,8,6,"0,5"
Jelenja jama,20,30,1,151,35,114
G1 Lor,"4,5",2,1,29,6,27
Jama sa smećem,"3,5",1,1,49,29,8
Staje 16,10,15,1,,15,"17,6"
Mala Rudelića špilja,1,1,1,,97,20
Špilja u Desmericama,8,5,1,35,30,0
Jama kod Medovače,8,"3,2",1,40,22,25
Snježna kraljica,25,4,1,383,155,232
Izvor špilja pod Velim Vrhom,"3,8",2,1,,73,9
Oko Sokolovo,3,7,1,42,16,36
Jama Gimnazijalka,1,1,1,,47,68
Špilja pod Mirković vrhom,"6,5",6,1,"23,5",20,10
Špilja na Supljaku,1,1,1,35,21,15
Pećina s pijeskom mala,"1,2","0,8",1,5,5,3
Crvuljak s podrškom,"1,2","1,6",1,8,8,0
Jama „više izgleda nego je“,4,"1,5",1,,6,9
Kobiljak 3,"0,5","1,2",1,27,18,"17,5"
Kaverna na stacionaži 1+193 Tunelska puhaljka,"1,6",2,1,405,248,86
Bizečka špilja,,,1,,,
Jama podno Vršeljka,"4,1","8,3",1,19,9,13
Jama u stine ,"1,5",1,1,"8,5",5,5
Tužni fiks,10,"11,5",1,32,21,24
Šoića pećina,"1,1","1,5",1,317,275,28
Ossina jama,"0,5","1,5",1,7,3,6
Jelenji grob,"3,9",,1,"24,7","17,3","9,1"
Pećina kod Zvonika 2,"3,8",5,1,,8,0
Golubljenica,6,3,1,,34,34
Knežić jama,1,"1,5",1,,"16,5","27,5"
Dvije budale,"1,6","1,2",1,"13,2","4,2","11,1"
Mišja pećina,12,10,1,24,22,0
Hribna,"0,5",1,1,41,18,"30,4"
Lukinić pećina,18,4,1,27,27,0
Cener jama,"5,7",2,1,2,2,36
Golubinka,9,"9,5",1,31,28,0
Jama Paga,80,70,1,,170,125
Pobojište II,"0,5",1,1,25,14,20
Živina,9,4,1,14,9,11
Šira nego dublja,3,1,1,18,15,6
Jama u Gajini,"0,8","0,6",1,30,5,27
Zverina,"0,7","0,4",1,,6,16
Karmača,2,"1,5",1,15,8,11
Avatar,3,7,1,332,113,170
Mumina,"3,5","3,5",1,24,3,24
Jama iznad Ljubitovačkih staja,5,3,1,52,33,30
Odakova (Nano) jama,5,6,1,"32,6",12,"24,5"
Jama na Zaluki 3 ,2,1,1,,4,"6,5"
Braco,5,8,1,87,16,83
Svijećnica 4,"1,4","2,4",1,"35,4","9,8","29,3"
Špilja iznad Bandinog ponora,3,"1,5",1,"12,5","10,5",0
Jama s Poljica,"1,5","0,7",1,"12,6",9,"7,45"
Našli smo trećeg,5,"7,5",1,,22,42
Močiljska špilja,5,"2,5",1,1038,938,138
Rapa,2,"1,2",1,26,9,22
Špilja kod Orašačkog mola 1,5,"2,5",1,,18,0
Delova jama u Borima,3,2,1,17,14,"6,5"
Macilova čatrnja,"0,4","0,4",1,"6,6",3,"6,6"
Topolkova hiža 2,2,1,1,5,5,0
Mišja rupa,1,"0,5",1,16,"6,7","10,3"
Znetva u Bubanjkinoj dragi,2,"0,4",1,,40,11
Sustav Matešićeva špilja - Popovačka špilja,4,2,1,,1246,24
Karlova jama,1,1,1,30,6,28
Jadranova špilja,2,1,1,"12,5","12,5",5
Talajine tri banke,6,4,1,59,15,41
Bračkova špilja,7,3,1,,14,"0,5"
Špilja pod Žuževačkom kosom,"1,4","0,7",1,,7,"0,5"
Ponor ispod logora,12,11,1,,26,33
Jama br 154,1,6,1,"25,8","19,2","16,1"
Dve žabe,"2,3","1,7",1,"9,5","9,5","6,1"
Jama među bukvicama,8,4,1,41,"11,5",32
Crno vrelo,5,"2,5",1,337,330,23
Matlanuša,"5,5","1,9",1,,"17,9",5
Jama iznad Drage Grabrovice,"1,5",2,1,15,10,"10,5"
Mala kaverna u tunelu Blatsko polje - Bristva,"1,2",2,1,24,12,14
Kosićev ponor,,,1,,,
Pećina nad Lavret,1,"2,6",1,12,10,8
Bačeva jama,"0,5","0,7",1,30,16,16
Jama na putu,7,6,1,49,19,37
Jama na Svetom brdu,14,8,1,123,85,76
Neka škuljica,"0,5","0,8",1,"14,5","8,5",8
Guduća II,6,4,1,6,6,0
Marinova jama,2,4,1,96,75,36
Pećina u mramornih sten,"1,6",1,1,20,16,10
Zvanovica,2,2,1,124,64,70
Kotluša,2,3,1,4727,4538,9
Špilja iznad amfiteatra,3,2,1,,17,0
Tavica,11,10,1,,11,14
Golubinka nad Mingama,1,1,1,49,23,33
Depratova pećina,6,2,1,,23,"2,5"
Papovka,1,"1,5",1,"13,2",13,0
Boreal,,,1,,,
Čouljava pečina,6,12,1,120,105,53
Mravinjuša,,,1,,,
Jama na Željeznim vratima,10,2,1,157,40,100
Jama kod Špadine 1,"0,7","0,5",1,7,5,5
Lavor,2,6,1,"29,6",24,"12,3"
Magaretuša jama,"2,8","1,5",1,"9,5",4,"9,5"
Mini jama,7,6,1,20,14,8
Stara oznaka 19,"15,5",1,1,34,12,17
Pećina u Brini zapadna,2,3,1,20,20,0
Špilja u Biloj gredi,1,2,1,35,29,14
Jama iznad Lipog dočića,,,1,,,
Jama ispod starog puta,3,1,1,,54,26
Čujna jama,"4,5",3,1,"11,5","7,5","7,3"
Ljubelj,2,1,1,"5,2","3,7","3,6"
Damirovo razočaranje,"0,7","0,5",1,"7,5","7,5",1
Gubovača,"1,2","1,9",2,180,165,15
Kijevljanka,"1,3","0,5",1,"13,2","7,1",9
Jama odokativna,1,"0,5",1,,5,6
Nevistina špilja,"0,7","0,5",1,"47,1",25,"15,2"
Nada za Siljevec,"1,5",1,1,"5,1","5,1",0
Jama udarne divizije BiH,3,6,1,"48,8","28,8","28,5"
Lakat pećnica,2,2,1,15,15,8
Uviraljka,"2,5",4,1,286,229,39
"Sori, napio sam se","1,5","0,5",1,82,"40,2",64
Juha od puha,"4,5",1,1,13,"4,5",10
Lucina špajza,"1,8",1,1,,27,11
05-824,2,2,1,8,"2,5",6
Pol sitni,"4,5",2,1,27,5,10
Immigrant Song,2,2,1,14,12,7
Deukalion jama,"1,7","1,1",1,18,14,"3,5"
Jama rudopoljskog zvončara,5,"5,8",1,"47,6","10,4","38,9"
Golubinka na Plitvinama 1,"3,5","2,5",1,,10,36
Jama Bliznice 2,6,2,1,,17,26
Jama na Kužnoj glavici,4,5,1,72,68,15
Jama Babuljarka,,,1,,7,15
Gamboci,5,7,1,72,58,30
Jankuša,"1,8","0,9",1,177,128,3
Špilja ispod Vukovića poda,3,2,1,18,15,10
Goričina,"0,5","0,5",1,20,8,13
Jama Šverda,4,3,1,47,15,35
Ciganska peć,"1,2","0,4",1,44,42,8
Mala Duliba,2,"1,5",1,115,108,9
Jama pod Čorkovcem,3,3,1,27,13,21
Špilja u Žarkovcu,1,"1,5",1,"39,2","35,2","9,5"
Ključanica,5,3,1,"161,3","33,8","112,5"
Xantipa,150,80,1,400,70,323
Jama ispod Orljaka,15,17,1,30,28,27
Pećina Mrzjak,"1,5",2,1,,8,8
Bezdanjača pod Vatinovcem,,,1,,,
Gornja jama na Grljaku,"6,5",5,1,"81,7",24,71
Jama Zadubravica,5,2,1,164,111,108
Mala jama na Pištenici,2,3,1,22,11,"14,5"
Zmajeva špilja,,,1,,,
Sovina spilja,2,1,1,,8,8
Špilja 505,1,1,1,12,9,6
Jama iznad Jezerca,"0,6","0,6",1,,23,12
Tisina špilja,2,"1,5",1,"7,6","7,2",0
Jama treba pantin,3,"1,5",1,"30,4",4,"27,4"
Jama Pan 4,3,4,1,,7,10
Shire,"5,2","6,5",1,8,4,6
Jama u Kovarinovoj dragi,"1,5",1,1,"6,5","1,5",6
Jama pod Liscem,5,3,1,,37,31
Botušića čatrnja,"2,5","0,6",1,8,4,8
Vidova špilja,3,4,1,,87,34
Brikinjava špilja,6,2,1,,16,"2,4"
Špilja ispod kućice desna,2,4,1,"13,5","13,5",0
Špilja Nova 2,1,1,1,,11,8
Todorčeva pećina,8,5,1,11,10,0
Boschova jama,3,1,1,41,20,21
Jamodalo,4,2,1,142,25,124
Srčanik,2,1,1,"45,7","27,7",22
Dvojama,4,"2,5",1,"13,2","3,7","5,4"
PB jama,3,7,1,18,18,"15,5"
Viseći blokovi,10,4,1,29,20,17
Pećina Šupačevac,5,"2,5",1,17,16,6
Tucanj,"0,7","1,2",1,26,24,4
Nemirna jama,"1,5","3,5",1,132,24,65
Kolko naz ima,10,10,1,,63,35
Rokinka,5,6,1,,58,35
Špilja kod kamenoloma kraj Držaka,"1,5",3,1,23,"17,7","5,5"
Jama kod Kamenog luka,"0,9","0,8",1,"5,5",4,4
Simina pećina,2,2,1,15,15,0
Jelena,5,5,1,"13,5",11,8
Jama na Straži,6,6,1,14,14,9
Crnopolis,"5,8",4,1,590,380,210
Lubuška jama,"1,75","7,5",1,2395,1356,529
Pećina kod Zvonika 4,"1,4","1,1",1,,9,"0,5"
Lipa na Protulipi,8,"0,5",1,,181,5
Brza jama,"0,9","1,7",1,"5,5","3,2",5
Propust pećina,"8,9","9,5",1,,"112,5",18
Plava Grota,2,4,1,71,71,"2,7"
Jama Poštenjak,,,1,,,
Jama sa svjetlom,,,1,25,8,22
Jama 42 ,,,1,,,
Modra Mrtvačeva jama,2,2,1,15,7,10
Dimnjačareva špilja,"0,8","0,8",1,,27,14
Pećina kod Gajmovići,"4,8","2,5",1,"10,5",10,1
Jama blizu sela Kućeli,2,"1,5",1,,"6,5",36
Špilja papučkog pračovjeka,"1,5",3,1,,16,0
Špilja u kanjonu Dobre ispod Podjakšića,,,1,,,
Dolača,9,"4,5",1,1262,1171,155
Jama na dnu vrtače,"8,3",2,1,36,17,"22,5"
Zemljo otvori se,3,"1,6",1,8,"7,3","2,2"
Kazna,"0,4","1,6",1,"10,4","6,2","8,1"
Betina,,,1,,,
Jama u Vrtu,"0,6","0,6",1,51,27,28
Jopićeva špilja,10,5,2,,6710,57
Tvorcova jama,3,"1,5",1,,64,34
Puhaljka,,,1,,,
Mokra peć,,,1,60,60,5
Pećina s mostom u šumi Aćimovac,8,5,1,42,"38,3",10
Dedina špajza,4,3,1,,14,4
Vukovićeva špilja,,,1,,,
Jama Spas kraljica,3,"3,5",1,20,14,18
Jama pod Bijelim vrhom,2,1,1,,12,21
Mladenova buža,"2,5",2,1,"25,1","24,8","2,8"
Tuljan,2,4,1,,30,41
Petunija,2,4,1,15,0,15
Brgudac VII,3,3,1,9,7,5
4 minute,1,"0,8",1,6,0,6
Perinka,,,1,,,
Možda jama,7,"2,5",1,,13,11
Milinkovićeva špilja,,,1,,,
Stenica,2,1,1,10,4,9
Špilja s karte,"2,2","1,4",1,7,4,4
Pinkina peć,"1,5",3,1,,14,5
Jama na Brezdanu,,,1,,,
Đutno,"7,5",5,1,,328,34
Dabina špilja,10,1,1,18,18,1
Trojama Vidasovke,,,1,,51,65
Jama uz cestu,"0,7","0,7",1,25,16,16
Kubanskaja 1 - 18 A,5,10,1,60,12,36
Dražića draga 1,2,"2,5",1,13,13,2
Šipurina,,,1,,,
Ledeni šaht,11,5,1,"16,2","2,8","14,7"
Špilja ispod Majera,2,1,1,"6,4","6,4",
Špiljama,"0,9",1,1,6,6,1
Jama SD 3,"1,5","2,5",1,,4,9
Jama na trasi naftovoda kod Zlobina,1,"1,5",1,12,2,"11,7"
Halfway lengthen,4,2,1,17,10,12
Obična,4,3,1,"83,9",16,81
Jama Krst,"1,5","1,5",1,15,"5,5",13
Okrugla špilja u kanjonu Korane,3,2,1,"11,6",10,0
Highlander,1,"0,5",1,"45,3","24,4",23
Samograd,,,1,,80,75
Bezdan na Rudinama,4,"4,5",1,102,55,69
Lepojka,"0,8","1,5",1,43,33,9
Galovićeva jama,"0,4","0,4",1,,6,"14,1"
Svinjarača,5,1,1,,15,22
