sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature;deepest air temperature;média temperature
2075;Pozjata špilja;Croatia;26.10.2003.;2003-10-26;2f;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;1435;43 387 837;16 963 748;Tf;deep cave;4 338 783 716 963 740;3;;;7,85
2084;Kukor;Croatia;29.12.1997.;1997-12-29;1f, 1 juv;2;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2085;Kukor;Croatia;7.8.2000.;2000-08-07;1f, 7 juv;8;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2088;Kukor;Croatia;25.3.2004.;2004-03-25;1 juv;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2092;Svetica;Croatia;16.11.2005.;2005-11-16;1m, 2f, 3 juv;6;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;300;43 401 143;16 894 548;Tf;deep cave;4 340 114 316 894 540;5;;;
2093;Kukor;Croatia;26.3.2004.;2004-03-26;1f, 1 juv;2;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2094;Spila 2;Croatia;26.3.2003.;2003-03-26;1 juv m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;516;4 326 239;17 204 021;Tb;deep cave;432 623 917 204 021;6;;12;12
2097;Baba;Croatia;27.4.2002.;2002-04-27;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 256 469;17 162 283;Tb;deep cave;4 325 646 917 162 280;4;;;
2098;Jama na Saran?u;Croatia;25.3.2005.;2005-03-25;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 247 108;17 176 093;Tb;deep cave;4 324 710 817 176 090;4;;;
2100;Bošak jama;Croatia;17.11.2005.;2005-11-17;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;739;43 347 996;17 100 045;Tb;deep cave;4 334 799 617 100 040;2;;;7,4
